mobilenetv1_num-100 top1:0.77, top5:0.92, time cost: 2.413834810256958s
mobilenetv1_num-200 top1:0.72, top5:0.91, time cost: 2.3792779445648193s
mobilenetv1_num-300 top1:0.6866666666666666, top5:0.8833333333333333, time cost: 2.409233331680298s
mobilenetv1_num-400 top1:0.69, top5:0.895, time cost: 2.3954665660858154s
mobilenetv1_num-500 top1:0.696, top5:0.906, time cost: 2.4284756183624268s
mobilenetv1_num-600 top1:0.69, top5:0.905, time cost: 2.521130323410034s
mobilenetv1_num-700 top1:0.6942857142857143, top5:0.9057142857142857, time cost: 2.388353109359741s
mobilenetv1_num-800 top1:0.69625, top5:0.90375, time cost: 2.471187114715576s
mobilenetv1_num-900 top1:0.6966666666666667, top5:0.9022222222222223, time cost: 2.401520013809204s
mobilenetv1_num-1000 top1:0.694, top5:0.901, time cost: 2.408047676086426s
mobilenetv1_num-1100 top1:0.6990909090909091, top5:0.9009090909090909, time cost: 2.442261219024658s
mobilenetv1_num-1200 top1:0.7016666666666667, top5:0.8975, time cost: 2.399301767349243s
mobilenetv1_num-1300 top1:0.7015384615384616, top5:0.9015384615384615, time cost: 2.38242506980896s
mobilenetv1_num-1400 top1:0.7014285714285714, top5:0.8985714285714286, time cost: 2.4013662338256836s
mobilenetv1_num-1500 top1:0.7013333333333334, top5:0.8973333333333333, time cost: 2.390375852584839s
mobilenetv1_num-1600 top1:0.699375, top5:0.89375, time cost: 2.4010207653045654s
mobilenetv1_num-1700 top1:0.7, top5:0.8952941176470588, time cost: 2.439049005508423s
mobilenetv1_num-1800 top1:0.6972222222222222, top5:0.8955555555555555, time cost: 2.437930107116699s
mobilenetv1_num-1900 top1:0.6963157894736842, top5:0.8963157894736842, time cost: 2.4168121814727783s
mobilenetv1_num-2000 top1:0.6935, top5:0.8935, time cost: 2.431185245513916s
mobilenetv1_num-2100 top1:0.6971428571428572, top5:0.8942857142857142, time cost: 2.476895570755005s
mobilenetv1_num-2200 top1:0.6945454545454546, top5:0.8936363636363637, time cost: 2.423292398452759s
mobilenetv1_num-2300 top1:0.6947826086956522, top5:0.8947826086956522, time cost: 2.4765772819519043s
mobilenetv1_num-2400 top1:0.6958333333333333, top5:0.8945833333333333, time cost: 2.4047858715057373s
mobilenetv1_num-2500 top1:0.6988, top5:0.896, time cost: 2.4552316665649414s
