alexnet_num-6900 top1:0.5673913043478261, top5:0.7965217391304348, time cost: 0.593773365020752s
alexnet_num-7000 top1:0.568, top5:0.7975714285714286, time cost: 0.5926756858825684s
alexnet_num-7100 top1:0.5687323943661972, top5:0.798169014084507, time cost: 0.6128454208374023s
alexnet_num-7200 top1:0.5693055555555555, top5:0.7980555555555555, time cost: 0.5992763042449951s
alexnet_num-7300 top1:0.5684931506849316, top5:0.7975342465753424, time cost: 0.5824639797210693s
alexnet_num-7400 top1:0.5690540540540541, top5:0.7978378378378378, time cost: 0.602410078048706s
alexnet_num-7500 top1:0.5694666666666667, top5:0.7984, time cost: 0.5905187129974365s
alexnet_num-7600 top1:0.57, top5:0.7996052631578947, time cost: 0.5905683040618896s
alexnet_num-7700 top1:0.5697402597402598, top5:0.7996103896103897, time cost: 0.5865106582641602s
alexnet_num-7800 top1:0.5685897435897436, top5:0.798974358974359, time cost: 0.586329460144043s
alexnet_num-7900 top1:0.5687341772151899, top5:0.7989873417721519, time cost: 0.5704154968261719s
alexnet_num-8000 top1:0.5685, top5:0.79825, time cost: 0.5816676616668701s
alexnet_num-8100 top1:0.5690123456790124, top5:0.798395061728395, time cost: 0.613483190536499s
alexnet_num-8200 top1:0.568780487804878, top5:0.7978048780487805, time cost: 0.6005642414093018s
alexnet_num-8300 top1:0.568433734939759, top5:0.7974698795180722, time cost: 0.714606523513794s
alexnet_num-8400 top1:0.5677380952380953, top5:0.7971428571428572, time cost: 0.5925922393798828s
alexnet_num-8500 top1:0.568, top5:0.7968235294117647, time cost: 0.589113712310791s
alexnet_num-8600 top1:0.5672093023255814, top5:0.7959302325581395, time cost: 0.5932633876800537s
alexnet_num-8700 top1:0.5673563218390805, top5:0.7963218390804597, time cost: 0.6015422344207764s
alexnet_num-8800 top1:0.5670454545454545, top5:0.7959090909090909, time cost: 0.5893294811248779s
alexnet_num-8900 top1:0.5671910112359551, top5:0.7962921348314607, time cost: 0.5789618492126465s
alexnet_num-9000 top1:0.5674444444444444, top5:0.7958888888888889, time cost: 0.6561579704284668s
alexnet_num-9100 top1:0.5681318681318681, top5:0.7960439560439561, time cost: 0.5809042453765869s
alexnet_num-9200 top1:0.5688043478260869, top5:0.7965217391304348, time cost: 0.6203548908233643s
alexnet_num-9300 top1:0.5691397849462365, top5:0.7963440860215054, time cost: 0.6250255107879639s
alexnet_num-9400 top1:0.5702127659574469, top5:0.7969148936170213, time cost: 0.7205264568328857s
alexnet_num-9500 top1:0.5701052631578948, top5:0.7977894736842105, time cost: 0.6314735412597656s
alexnet_num-9600 top1:0.5694791666666666, top5:0.7969791666666667, time cost: 0.6492300033569336s
