resnet101_num-100 top1:0.82, top5:0.95, time cost: 2.181623697280884s
resnet101_num-200 top1:0.76, top5:0.93, time cost: 2.078035831451416s
resnet101_num-300 top1:0.7233333333333334, top5:0.92, time cost: 2.095472574234009s
resnet101_num-400 top1:0.7275, top5:0.9225, time cost: 2.133939027786255s
resnet101_num-500 top1:0.74, top5:0.932, time cost: 2.230609655380249s
resnet101_num-600 top1:0.7416666666666667, top5:0.935, time cost: 2.2140958309173584s
resnet101_num-700 top1:0.7485714285714286, top5:0.9385714285714286, time cost: 2.1076393127441406s
resnet101_num-800 top1:0.7525, top5:0.93875, time cost: 2.185683488845825s
resnet101_num-900 top1:0.75, top5:0.9344444444444444, time cost: 2.0898280143737793s
resnet101_num-1000 top1:0.747, top5:0.936, time cost: 2.0931878089904785s
resnet101_num-1100 top1:0.7527272727272727, top5:0.9363636363636364, time cost: 2.2610762119293213s
resnet101_num-1200 top1:0.7566666666666667, top5:0.9341666666666667, time cost: 2.151790142059326s
resnet101_num-1300 top1:0.76, top5:0.9361538461538461, time cost: 2.152353525161743s
resnet101_num-1400 top1:0.7628571428571429, top5:0.935, time cost: 2.1654911041259766s
resnet101_num-1500 top1:0.764, top5:0.9333333333333333, time cost: 2.1326487064361572s
resnet101_num-1600 top1:0.76, top5:0.93, time cost: 2.189387083053589s
resnet101_num-1700 top1:0.7617647058823529, top5:0.93, time cost: 2.231546401977539s
resnet101_num-1800 top1:0.7633333333333333, top5:0.9294444444444444, time cost: 2.1390740871429443s
resnet101_num-1900 top1:0.7652631578947369, top5:0.9315789473684211, time cost: 2.1173925399780273s
resnet101_num-2000 top1:0.7625, top5:0.9295, time cost: 2.098904609680176s
resnet101_num-2100 top1:0.7671428571428571, top5:0.9295238095238095, time cost: 2.1324191093444824s
resnet101_num-2200 top1:0.765, top5:0.9286363636363636, time cost: 2.0925889015197754s
resnet101_num-2300 top1:0.7660869565217391, top5:0.9291304347826087, time cost: 2.164966344833374s
resnet101_num-2400 top1:0.7670833333333333, top5:0.9295833333333333, time cost: 2.153822660446167s
resnet101_num-2500 top1:0.7704, top5:0.9308, time cost: 2.164454221725464s
resnet101_num-2600 top1:0.7707692307692308, top5:0.9315384615384615, time cost: 2.0891387462615967s
resnet101_num-2700 top1:0.7696296296296297, top5:0.9322222222222222, time cost: 2.0743327140808105s
resnet101_num-2800 top1:0.7678571428571429, top5:0.9317857142857143, time cost: 2.148040294647217s
resnet101_num-2900 top1:0.77, top5:0.9327586206896552, time cost: 2.073659896850586s
resnet101_num-3000 top1:0.7686666666666667, top5:0.9326666666666666, time cost: 2.128908395767212s
resnet101_num-3100 top1:0.7687096774193548, top5:0.9325806451612904, time cost: 2.0817630290985107s
resnet101_num-3200 top1:0.7690625, top5:0.9334375, time cost: 2.092062473297119s
resnet101_num-3300 top1:0.7681818181818182, top5:0.9318181818181818, time cost: 2.067911386489868s
resnet101_num-3400 top1:0.7685294117647059, top5:0.9320588235294117, time cost: 2.0817275047302246s
resnet101_num-3500 top1:0.7694285714285715, top5:0.9325714285714286, time cost: 2.0618772506713867s
resnet101_num-3600 top1:0.7688888888888888, top5:0.9322222222222222, time cost: 2.13041353225708s
resnet101_num-3700 top1:0.7691891891891892, top5:0.9321621621621622, time cost: 2.0906646251678467s
resnet101_num-3800 top1:0.7684210526315789, top5:0.9307894736842105, time cost: 2.0866219997406006s
resnet101_num-3900 top1:0.7697435897435897, top5:0.9312820512820513, time cost: 2.088000774383545s
resnet101_num-4000 top1:0.7695, top5:0.9305, time cost: 2.0793323516845703s
resnet101_num-4100 top1:0.7697560975609756, top5:0.9302439024390244, time cost: 2.0877795219421387s
resnet101_num-4200 top1:0.7685714285714286, top5:0.9297619047619048, time cost: 2.0647428035736084s
resnet101_num-4300 top1:0.7672093023255814, top5:0.9288372093023256, time cost: 2.0998759269714355s
resnet101_num-4400 top1:0.7677272727272727, top5:0.9288636363636363, time cost: 2.1417489051818848s
resnet101_num-4500 top1:0.7691111111111111, top5:0.9297777777777778, time cost: 2.1338071823120117s
resnet101_num-4600 top1:0.7680434782608696, top5:0.9291304347826087, time cost: 2.0791492462158203s
resnet101_num-4700 top1:0.7685106382978724, top5:0.9282978723404255, time cost: 2.112889051437378s
resnet101_num-4800 top1:0.7677083333333333, top5:0.9283333333333333, time cost: 2.092672824859619s
resnet101_num-4900 top1:0.7687755102040816, top5:0.9283673469387755, time cost: 2.121572494506836s
resnet101_num-5000 top1:0.7694, top5:0.9284, time cost: 2.086904764175415s
resnet101_num-5100 top1:0.7688235294117647, top5:0.927843137254902, time cost: 2.1184589862823486s
resnet101_num-5200 top1:0.7694230769230769, top5:0.9278846153846154, time cost: 2.1194610595703125s
resnet101_num-5300 top1:0.769245283018868, top5:0.9281132075471699, time cost: 2.138356924057007s
resnet101_num-5400 top1:0.7681481481481481, top5:0.9283333333333333, time cost: 2.0817253589630127s
resnet101_num-5500 top1:0.7678181818181818, top5:0.9276363636363636, time cost: 2.101820468902588s
resnet101_num-5600 top1:0.7685714285714286, top5:0.9271428571428572, time cost: 2.090928316116333s
resnet101_num-5700 top1:0.7691228070175439, top5:0.927719298245614, time cost: 2.0981931686401367s
