squeezenetv1.1_num-100 top1:0.55, top5:0.85, time cost: 0.5681660175323486s
squeezenetv1.1_num-200 top1:0.565, top5:0.815, time cost: 0.5144836902618408s
squeezenetv1.1_num-300 top1:0.55, top5:0.79, time cost: 0.5298404693603516s
squeezenetv1.1_num-400 top1:0.5675, top5:0.8, time cost: 0.565208911895752s
squeezenetv1.1_num-500 top1:0.592, top5:0.826, time cost: 0.5632064342498779s
squeezenetv1.1_num-600 top1:0.5783333333333334, top5:0.8183333333333334, time cost: 0.6832420825958252s
squeezenetv1.1_num-700 top1:0.5771428571428572, top5:0.8171428571428572, time cost: 0.5268778800964355s
squeezenetv1.1_num-800 top1:0.5825, top5:0.81625, time cost: 0.5897483825683594s
squeezenetv1.1_num-900 top1:0.5722222222222222, top5:0.8188888888888889, time cost: 0.5071849822998047s
squeezenetv1.1_num-1000 top1:0.57, top5:0.815, time cost: 0.5185599327087402s
squeezenetv1.1_num-1100 top1:0.5754545454545454, top5:0.8154545454545454, time cost: 0.5511875152587891s
squeezenetv1.1_num-1200 top1:0.58, top5:0.8183333333333334, time cost: 0.5103261470794678s
squeezenetv1.1_num-1300 top1:0.58, top5:0.8215384615384616, time cost: 0.4895787239074707s
squeezenetv1.1_num-1400 top1:0.5792857142857143, top5:0.8171428571428572, time cost: 0.5139799118041992s
squeezenetv1.1_num-1500 top1:0.5786666666666667, top5:0.8166666666666667, time cost: 0.501953125s
squeezenetv1.1_num-1600 top1:0.57625, top5:0.811875, time cost: 0.5143322944641113s
squeezenetv1.1_num-1700 top1:0.5764705882352941, top5:0.8111764705882353, time cost: 0.546072244644165s
squeezenetv1.1_num-1800 top1:0.5688888888888889, top5:0.8072222222222222, time cost: 0.543524980545044s
squeezenetv1.1_num-1900 top1:0.5684210526315789, top5:0.8047368421052632, time cost: 0.5120742321014404s
squeezenetv1.1_num-2000 top1:0.565, top5:0.803, time cost: 0.5256414413452148s
squeezenetv1.1_num-2100 top1:0.57, top5:0.8057142857142857, time cost: 0.5643727779388428s
squeezenetv1.1_num-2200 top1:0.5690909090909091, top5:0.8036363636363636, time cost: 0.5171444416046143s
squeezenetv1.1_num-2300 top1:0.5691304347826087, top5:0.8060869565217391, time cost: 0.5664100646972656s
squeezenetv1.1_num-2400 top1:0.5695833333333333, top5:0.8041666666666667, time cost: 0.49774932861328125s
squeezenetv1.1_num-2500 top1:0.5728, top5:0.8052, time cost: 0.5402026176452637s
squeezenetv1.1_num-2600 top1:0.5711538461538461, top5:0.806923076923077, time cost: 0.5138993263244629s
squeezenetv1.1_num-2700 top1:0.5711111111111111, top5:0.8062962962962963, time cost: 0.5006778240203857s
squeezenetv1.1_num-2800 top1:0.5707142857142857, top5:0.8057142857142857, time cost: 0.569756269454956s
squeezenetv1.1_num-2900 top1:0.5720689655172414, top5:0.8058620689655173, time cost: 0.4931027889251709s
squeezenetv1.1_num-3000 top1:0.5726666666666667, top5:0.804, time cost: 0.5543806552886963s
squeezenetv1.1_num-3100 top1:0.5725806451612904, top5:0.8045161290322581, time cost: 0.4949028491973877s
squeezenetv1.1_num-3200 top1:0.5728125, top5:0.805, time cost: 0.512408971786499s
squeezenetv1.1_num-3300 top1:0.5754545454545454, top5:0.806969696969697, time cost: 0.4852004051208496s
squeezenetv1.1_num-3400 top1:0.5755882352941176, top5:0.8058823529411765, time cost: 0.49919915199279785s
squeezenetv1.1_num-3500 top1:0.578, top5:0.8071428571428572, time cost: 0.482774019241333s
squeezenetv1.1_num-3600 top1:0.5783333333333334, top5:0.8063888888888889, time cost: 0.5458822250366211s
squeezenetv1.1_num-3700 top1:0.5808108108108108, top5:0.8078378378378378, time cost: 0.5105721950531006s
squeezenetv1.1_num-3800 top1:0.5794736842105264, top5:0.8060526315789474, time cost: 0.504486083984375s
squeezenetv1.1_num-3900 top1:0.581025641025641, top5:0.806923076923077, time cost: 0.5059332847595215s
squeezenetv1.1_num-4000 top1:0.5805, top5:0.8065, time cost: 0.5005829334259033s
squeezenetv1.1_num-4100 top1:0.5795121951219512, top5:0.806829268292683, time cost: 0.5047965049743652s
squeezenetv1.1_num-4200 top1:0.5783333333333334, top5:0.8064285714285714, time cost: 0.4875202178955078s
squeezenetv1.1_num-4300 top1:0.5786046511627907, top5:0.8062790697674419, time cost: 0.5099971294403076s
squeezenetv1.1_num-4400 top1:0.5786363636363636, top5:0.8056818181818182, time cost: 0.5625672340393066s
squeezenetv1.1_num-4500 top1:0.58, top5:0.8068888888888889, time cost: 0.5530900955200195s
squeezenetv1.1_num-4600 top1:0.5808695652173913, top5:0.8071739130434783, time cost: 0.49650001525878906s
squeezenetv1.1_num-4700 top1:0.5804255319148937, top5:0.806595744680851, time cost: 0.5255069732666016s
squeezenetv1.1_num-4800 top1:0.581875, top5:0.8066666666666666, time cost: 0.5031967163085938s
squeezenetv1.1_num-4900 top1:0.5816326530612245, top5:0.8073469387755102, time cost: 0.5321695804595947s
squeezenetv1.1_num-5000 top1:0.5832, top5:0.8082, time cost: 0.4973106384277344s
squeezenetv1.1_num-5100 top1:0.5837254901960784, top5:0.8084313725490196, time cost: 0.5302097797393799s
squeezenetv1.1_num-5200 top1:0.5844230769230769, top5:0.8078846153846154, time cost: 0.5317277908325195s
squeezenetv1.1_num-5300 top1:0.5839622641509434, top5:0.8075471698113208, time cost: 0.5453050136566162s
squeezenetv1.1_num-5400 top1:0.5837037037037037, top5:0.8066666666666666, time cost: 0.4923994541168213s
squeezenetv1.1_num-5500 top1:0.5821818181818181, top5:0.8054545454545454, time cost: 0.5039927959442139s
squeezenetv1.1_num-5600 top1:0.5823214285714285, top5:0.8057142857142857, time cost: 0.5024034976959229s
squeezenetv1.1_num-5700 top1:0.5824561403508772, top5:0.8054385964912281, time cost: 0.5061666965484619s
squeezenetv1.1_num-5800 top1:0.5824137931034483, top5:0.8051724137931034, time cost: 0.4784390926361084s
squeezenetv1.1_num-5900 top1:0.5825423728813559, top5:0.8050847457627118, time cost: 0.5177695751190186s
squeezenetv1.1_num-6000 top1:0.5811666666666667, top5:0.8046666666666666, time cost: 0.5377860069274902s
squeezenetv1.1_num-6100 top1:0.5818032786885245, top5:0.8045901639344263, time cost: 0.5171074867248535s
squeezenetv1.1_num-6200 top1:0.5812903225806452, top5:0.8035483870967742, time cost: 0.5189473628997803s
squeezenetv1.1_num-6300 top1:0.5817460317460318, top5:0.8038095238095239, time cost: 0.5044329166412354s
squeezenetv1.1_num-6400 top1:0.58109375, top5:0.80390625, time cost: 0.6141984462738037s
squeezenetv1.1_num-6500 top1:0.5813846153846154, top5:0.8041538461538461, time cost: 0.5050930976867676s
squeezenetv1.1_num-6600 top1:0.5822727272727273, top5:0.8046969696969697, time cost: 0.511878252029419s
squeezenetv1.1_num-6700 top1:0.5837313432835821, top5:0.8046268656716418, time cost: 0.5492651462554932s
squeezenetv1.1_num-6800 top1:0.5848529411764706, top5:0.8051470588235294, time cost: 0.48908472061157227s
squeezenetv1.1_num-6900 top1:0.5834782608695652, top5:0.8033333333333333, time cost: 0.5089583396911621s
squeezenetv1.1_num-7000 top1:0.5851428571428572, top5:0.8042857142857143, time cost: 0.5035281181335449s
squeezenetv1.1_num-7100 top1:0.5856338028169014, top5:0.8046478873239437, time cost: 0.5287659168243408s
squeezenetv1.1_num-7200 top1:0.5858333333333333, top5:0.8051388888888888, time cost: 0.5139214992523193s
squeezenetv1.1_num-7300 top1:0.5856164383561644, top5:0.8052054794520548, time cost: 0.49739837646484375s
squeezenetv1.1_num-7400 top1:0.585945945945946, top5:0.8059459459459459, time cost: 0.513080358505249s
squeezenetv1.1_num-7500 top1:0.5866666666666667, top5:0.806, time cost: 0.5016021728515625s
squeezenetv1.1_num-7600 top1:0.5869736842105263, top5:0.8060526315789474, time cost: 0.5047547817230225s
squeezenetv1.1_num-7700 top1:0.5871428571428572, top5:0.8061038961038961, time cost: 0.5032873153686523s
squeezenetv1.1_num-7800 top1:0.5861538461538461, top5:0.8052564102564103, time cost: 0.5006015300750732s
squeezenetv1.1_num-7900 top1:0.5853164556962025, top5:0.8054430379746835, time cost: 0.4824209213256836s
squeezenetv1.1_num-8000 top1:0.5845, top5:0.805, time cost: 0.49574780464172363s
squeezenetv1.1_num-8100 top1:0.5845679012345679, top5:0.8050617283950617, time cost: 0.5304009914398193s
squeezenetv1.1_num-8200 top1:0.5851219512195122, top5:0.8052439024390244, time cost: 0.5148069858551025s
squeezenetv1.1_num-8300 top1:0.585301204819277, top5:0.8051807228915663, time cost: 0.6253180503845215s
squeezenetv1.1_num-8400 top1:0.5853571428571429, top5:0.8055952380952381, time cost: 0.5044944286346436s
squeezenetv1.1_num-8500 top1:0.5850588235294117, top5:0.8051764705882353, time cost: 0.5042333602905273s
squeezenetv1.1_num-8600 top1:0.5840697674418605, top5:0.8044186046511628, time cost: 0.5027368068695068s
squeezenetv1.1_num-8700 top1:0.5847126436781609, top5:0.8051724137931034, time cost: 0.5126011371612549s
squeezenetv1.1_num-8800 top1:0.5842045454545455, top5:0.8051136363636363, time cost: 0.4991772174835205s
squeezenetv1.1_num-8900 top1:0.5833707865168539, top5:0.8056179775280898, time cost: 0.4935019016265869s
squeezenetv1.1_num-9000 top1:0.5828888888888889, top5:0.8052222222222222, time cost: 0.5611634254455566s
squeezenetv1.1_num-9100 top1:0.5837362637362637, top5:0.8054945054945055, time cost: 0.49338459968566895s
squeezenetv1.1_num-9200 top1:0.5851086956521739, top5:0.8059782608695653, time cost: 0.5354478359222412s
squeezenetv1.1_num-9300 top1:0.5848387096774194, top5:0.8063440860215054, time cost: 0.5367295742034912s
squeezenetv1.1_num-9400 top1:0.5853191489361702, top5:0.8063829787234043, time cost: 0.634423017501831s
squeezenetv1.1_num-9500 top1:0.5850526315789474, top5:0.8065263157894736, time cost: 0.5391085147857666s
squeezenetv1.1_num-9600 top1:0.5852083333333333, top5:0.8065625, time cost: 0.5587568283081055s
