squeezenetv1.0_num-6400 top1:0.56703125, top5:0.79015625, time cost: 0.6917340755462646s
squeezenetv1.0_num-6500 top1:0.5678461538461539, top5:0.7903076923076923, time cost: 0.5667521953582764s
squeezenetv1.0_num-6600 top1:0.5683333333333334, top5:0.79, time cost: 0.5734050273895264s
squeezenetv1.0_num-6700 top1:0.57, top5:0.7905970149253732, time cost: 0.611849308013916s
squeezenetv1.0_num-6800 top1:0.57, top5:0.7910294117647059, time cost: 0.5689675807952881s
squeezenetv1.0_num-6900 top1:0.5692753623188406, top5:0.7895652173913044, time cost: 0.5749218463897705s
squeezenetv1.0_num-7000 top1:0.5702857142857143, top5:0.7905714285714286, time cost: 0.5945756435394287s
squeezenetv1.0_num-7100 top1:0.5705633802816902, top5:0.7908450704225352, time cost: 0.624316930770874s
squeezenetv1.0_num-7200 top1:0.5713888888888888, top5:0.7915277777777778, time cost: 0.5981383323669434s
squeezenetv1.0_num-7300 top1:0.570958904109589, top5:0.7913698630136986, time cost: 0.5419175624847412s
squeezenetv1.0_num-7400 top1:0.5718918918918919, top5:0.7925675675675675, time cost: 0.5666403770446777s
squeezenetv1.0_num-7500 top1:0.5722666666666667, top5:0.7930666666666667, time cost: 0.5650696754455566s
squeezenetv1.0_num-7600 top1:0.5726315789473684, top5:0.7936842105263158, time cost: 0.589353084564209s
squeezenetv1.0_num-7700 top1:0.5731168831168831, top5:0.7935064935064935, time cost: 0.6005153656005859s
squeezenetv1.0_num-7800 top1:0.5720512820512821, top5:0.7929487179487179, time cost: 0.5846607685089111s
squeezenetv1.0_num-7900 top1:0.5721518987341773, top5:0.7931645569620254, time cost: 0.563849687576294s
squeezenetv1.0_num-8000 top1:0.571875, top5:0.79275, time cost: 0.5739200115203857s
squeezenetv1.0_num-8100 top1:0.5724691358024692, top5:0.7928395061728395, time cost: 0.6242456436157227s
squeezenetv1.0_num-8200 top1:0.5726829268292682, top5:0.7926829268292683, time cost: 0.5790035724639893s
squeezenetv1.0_num-8300 top1:0.5724096385542169, top5:0.7921686746987951, time cost: 0.7113277912139893s
squeezenetv1.0_num-8400 top1:0.5722619047619047, top5:0.7920238095238096, time cost: 0.5800023078918457s
squeezenetv1.0_num-8500 top1:0.5728235294117647, top5:0.7924705882352941, time cost: 0.567622184753418s
squeezenetv1.0_num-8600 top1:0.5724418604651162, top5:0.7915116279069767, time cost: 0.5780878067016602s
squeezenetv1.0_num-8700 top1:0.5722988505747126, top5:0.7924137931034483, time cost: 0.5977776050567627s
squeezenetv1.0_num-8800 top1:0.5721590909090909, top5:0.7925, time cost: 0.5784397125244141s
squeezenetv1.0_num-8900 top1:0.5724719101123595, top5:0.7931460674157303, time cost: 0.5451502799987793s
squeezenetv1.0_num-9000 top1:0.5726666666666667, top5:0.7934444444444444, time cost: 0.6315288543701172s
squeezenetv1.0_num-9100 top1:0.5735164835164835, top5:0.7937362637362637, time cost: 0.5701990127563477s
squeezenetv1.0_num-9200 top1:0.5746739130434783, top5:0.7942391304347826, time cost: 0.6087439060211182s
squeezenetv1.0_num-9300 top1:0.5748387096774193, top5:0.7944086021505377, time cost: 0.642350435256958s
squeezenetv1.0_num-9400 top1:0.5754255319148937, top5:0.7945744680851063, time cost: 0.7298390865325928s
squeezenetv1.0_num-9500 top1:0.5755789473684211, top5:0.7947368421052632, time cost: 0.6189582347869873s
squeezenetv1.0_num-9600 top1:0.5755208333333334, top5:0.7944791666666666, time cost: 0.6191465854644775s
squeezenetv1.0_num-9700 top1:0.5756701030927835, top5:0.794020618556701, time cost: 0.5719380378723145s
squeezenetv1.0_num-9800 top1:0.575, top5:0.7939795918367347, time cost: 0.573509693145752s
squeezenetv1.0_num-9900 top1:0.5753535353535354, top5:0.794949494949495, time cost: 0.589205265045166s
squeezenetv1.0_num-10000 top1:0.5758, top5:0.7954, time cost: 0.5730617046356201s
squeezenetv1.0_num-10100 top1:0.5765346534653465, top5:0.7954455445544555, time cost: 0.5881612300872803s
squeezenetv1.0_num-10200 top1:0.577156862745098, top5:0.7954901960784314, time cost: 0.5676984786987305s
squeezenetv1.0_num-10300 top1:0.5764077669902913, top5:0.795242718446602, time cost: 0.5748152732849121s
squeezenetv1.0_num-10400 top1:0.5765384615384616, top5:0.7950961538461538, time cost: 0.5798046588897705s
squeezenetv1.0_num-10500 top1:0.5767619047619048, top5:0.7947619047619048, time cost: 0.5856120586395264s
squeezenetv1.0_num-10600 top1:0.5767924528301887, top5:0.7948113207547169, time cost: 0.6573302745819092s
squeezenetv1.0_num-10700 top1:0.5772897196261683, top5:0.7945794392523364, time cost: 0.6068131923675537s
squeezenetv1.0_num-10800 top1:0.5775, top5:0.7951851851851852, time cost: 0.5770864486694336s
squeezenetv1.0_num-10900 top1:0.5777064220183487, top5:0.7955045871559633, time cost: 0.5787158012390137s
squeezenetv1.0_num-11000 top1:0.5778181818181818, top5:0.7958181818181819, time cost: 0.6532704830169678s
squeezenetv1.0_num-11100 top1:0.5777477477477477, top5:0.7958558558558558, time cost: 0.6225864887237549s
squeezenetv1.0_num-11200 top1:0.5780357142857143, top5:0.7959821428571429, time cost: 0.5703365802764893s
squeezenetv1.0_num-11300 top1:0.5775221238938053, top5:0.7958407079646018, time cost: 0.661013126373291s
squeezenetv1.0_num-11400 top1:0.5778947368421052, top5:0.7963157894736842, time cost: 0.566974401473999s
squeezenetv1.0_num-11500 top1:0.578, top5:0.7965217391304348, time cost: 0.5760402679443359s
squeezenetv1.0_num-11600 top1:0.5779310344827586, top5:0.7962931034482759, time cost: 0.5589599609375s
squeezenetv1.0_num-11700 top1:0.5776923076923077, top5:0.7958974358974359, time cost: 0.5697648525238037s
squeezenetv1.0_num-11800 top1:0.5777118644067797, top5:0.796271186440678, time cost: 0.5988423824310303s
squeezenetv1.0_num-11900 top1:0.5776470588235294, top5:0.7959663865546218, time cost: 0.598153829574585s
squeezenetv1.0_num-12000 top1:0.5774166666666667, top5:0.796, time cost: 0.5560646057128906s
squeezenetv1.0_num-12100 top1:0.5774380165289256, top5:0.7964462809917355, time cost: 0.6760025024414062s
