inceptionv1_num-100 top1:0.71, top5:0.87, time cost: 0.840576171875s
inceptionv1_num-200 top1:0.695, top5:0.88, time cost: 0.7827718257904053s
inceptionv1_num-300 top1:0.6633333333333333, top5:0.8666666666666667, time cost: 0.8079087734222412s
inceptionv1_num-400 top1:0.67, top5:0.87, time cost: 0.8021683692932129s
inceptionv1_num-500 top1:0.696, top5:0.892, time cost: 0.8318896293640137s
inceptionv1_num-600 top1:0.6833333333333333, top5:0.89, time cost: 0.9197072982788086s
inceptionv1_num-700 top1:0.6842857142857143, top5:0.8871428571428571, time cost: 0.7888205051422119s
inceptionv1_num-800 top1:0.6825, top5:0.885, time cost: 0.8791728019714355s
inceptionv1_num-900 top1:0.6755555555555556, top5:0.8877777777777778, time cost: 0.7943029403686523s
inceptionv1_num-1000 top1:0.674, top5:0.889, time cost: 0.8101232051849365s
inceptionv1_num-1100 top1:0.6809090909090909, top5:0.8909090909090909, time cost: 0.8394443988800049s
inceptionv1_num-1200 top1:0.6858333333333333, top5:0.8908333333333334, time cost: 0.8024325370788574s
inceptionv1_num-1300 top1:0.6884615384615385, top5:0.8923076923076924, time cost: 0.7879979610443115s
inceptionv1_num-1400 top1:0.6907142857142857, top5:0.8928571428571429, time cost: 0.8165068626403809s
inceptionv1_num-1500 top1:0.6886666666666666, top5:0.8946666666666667, time cost: 0.7994143962860107s
inceptionv1_num-1600 top1:0.68625, top5:0.891875, time cost: 0.807694673538208s
inceptionv1_num-1700 top1:0.6882352941176471, top5:0.8888235294117647, time cost: 0.856574535369873s
inceptionv1_num-1800 top1:0.6827777777777778, top5:0.8877777777777778, time cost: 0.8379898071289062s
inceptionv1_num-1900 top1:0.6784210526315789, top5:0.8868421052631579, time cost: 0.8051974773406982s
inceptionv1_num-2000 top1:0.675, top5:0.885, time cost: 0.8204431533813477s
inceptionv1_num-2100 top1:0.6776190476190476, top5:0.8866666666666667, time cost: 0.8589167594909668s
inceptionv1_num-2200 top1:0.6759090909090909, top5:0.884090909090909, time cost: 0.8037285804748535s
inceptionv1_num-2300 top1:0.6760869565217391, top5:0.8843478260869565, time cost: 0.8558328151702881s
inceptionv1_num-2400 top1:0.6775, top5:0.8845833333333334, time cost: 0.7942514419555664s
