vgg19_num-7000 top1:0.7158571428571429, top5:0.901, time cost: 1.202467679977417s
vgg19_num-7100 top1:0.7167605633802817, top5:0.9009859154929577, time cost: 1.2188115119934082s
vgg19_num-7200 top1:0.7176388888888889, top5:0.9011111111111111, time cost: 1.211963176727295s
vgg19_num-7300 top1:0.7173972602739725, top5:0.900958904109589, time cost: 1.1926662921905518s
vgg19_num-7400 top1:0.7178378378378378, top5:0.9009459459459459, time cost: 1.2206473350524902s
vgg19_num-7500 top1:0.718, top5:0.9012, time cost: 1.2014470100402832s
vgg19_num-7600 top1:0.718421052631579, top5:0.9017105263157895, time cost: 1.2006065845489502s
vgg19_num-7700 top1:0.7185714285714285, top5:0.902077922077922, time cost: 1.200392723083496s
vgg19_num-7800 top1:0.7176923076923077, top5:0.9017948717948718, time cost: 1.2006099224090576s
vgg19_num-7900 top1:0.7177215189873418, top5:0.9016455696202532, time cost: 1.1821091175079346s
vgg19_num-8000 top1:0.71775, top5:0.901625, time cost: 1.1936838626861572s
vgg19_num-8100 top1:0.7177777777777777, top5:0.9022222222222223, time cost: 1.2252638339996338s
vgg19_num-8200 top1:0.7174390243902439, top5:0.9019512195121951, time cost: 1.2149980068206787s
vgg19_num-8300 top1:0.7174698795180723, top5:0.9020481927710844, time cost: 1.305525302886963s
vgg19_num-8400 top1:0.7173809523809523, top5:0.9019047619047619, time cost: 1.2020173072814941s
vgg19_num-8500 top1:0.7172941176470589, top5:0.902, time cost: 1.1967406272888184s
vgg19_num-8600 top1:0.7165116279069768, top5:0.9016279069767442, time cost: 1.2036480903625488s
vgg19_num-8700 top1:0.7170114942528736, top5:0.9019540229885058, time cost: 1.213364601135254s
vgg19_num-8800 top1:0.7173863636363637, top5:0.9023863636363636, time cost: 1.196373701095581s
vgg19_num-8900 top1:0.7169662921348314, top5:0.9024719101123595, time cost: 1.189516544342041s
vgg19_num-9000 top1:0.7172222222222222, top5:0.9026666666666666, time cost: 1.2527167797088623s
vgg19_num-9100 top1:0.7176923076923077, top5:0.9025274725274726, time cost: 1.1875298023223877s
vgg19_num-9200 top1:0.7181521739130434, top5:0.9027173913043478, time cost: 1.2299959659576416s
vgg19_num-9300 top1:0.7179569892473119, top5:0.9025806451612903, time cost: 1.2329764366149902s
vgg19_num-9400 top1:0.718404255319149, top5:0.9028723404255319, time cost: 1.3287861347198486s
vgg19_num-9500 top1:0.7187368421052631, top5:0.9028421052631579, time cost: 1.2432880401611328s
vgg19_num-9600 top1:0.7179166666666666, top5:0.9023958333333333, time cost: 1.2426769733428955s
vgg19_num-9700 top1:0.7180412371134021, top5:0.9017525773195876, time cost: 1.2060599327087402s
vgg19_num-9800 top1:0.7176530612244898, top5:0.901734693877551, time cost: 1.2012925148010254s
vgg19_num-9900 top1:0.7171717171717171, top5:0.9018181818181819, time cost: 1.2185249328613281s
vgg19_num-10000 top1:0.7172, top5:0.9023, time cost: 1.204115867614746s
vgg19_num-10100 top1:0.7177227722772277, top5:0.9024752475247525, time cost: 1.2235212326049805s
vgg19_num-10200 top1:0.7184313725490196, top5:0.9025490196078432, time cost: 1.2014307975769043s
vgg19_num-10300 top1:0.7180582524271845, top5:0.902621359223301, time cost: 1.209765911102295s
vgg19_num-10400 top1:0.7176923076923077, top5:0.9024038461538462, time cost: 1.2038190364837646s
vgg19_num-10500 top1:0.717047619047619, top5:0.9022857142857142, time cost: 1.2163677215576172s
vgg19_num-10600 top1:0.7169811320754716, top5:0.9021698113207547, time cost: 1.276521921157837s
vgg19_num-10700 top1:0.7167289719626169, top5:0.9020560747663552, time cost: 1.2397825717926025s
vgg19_num-10800 top1:0.716574074074074, top5:0.9018518518518519, time cost: 1.2122561931610107s
vgg19_num-10900 top1:0.7161467889908257, top5:0.901559633027523, time cost: 1.200702428817749s
vgg19_num-11000 top1:0.7159090909090909, top5:0.9014545454545455, time cost: 1.272324562072754s
vgg19_num-11100 top1:0.7156756756756757, top5:0.9013513513513514, time cost: 1.2531929016113281s
vgg19_num-11200 top1:0.7155357142857143, top5:0.90125, time cost: 1.202049732208252s
vgg19_num-11300 top1:0.7153097345132743, top5:0.9011504424778761, time cost: 1.2707369327545166s
vgg19_num-11400 top1:0.7156140350877193, top5:0.9012280701754386, time cost: 1.1971662044525146s
vgg19_num-11500 top1:0.7157391304347827, top5:0.9014782608695652, time cost: 1.2065114974975586s
vgg19_num-11600 top1:0.7152586206896552, top5:0.9010344827586206, time cost: 1.194070816040039s
vgg19_num-11700 top1:0.7152136752136752, top5:0.9005982905982906, time cost: 1.2017433643341064s
vgg19_num-11800 top1:0.7155932203389831, top5:0.9008474576271186, time cost: 1.212116003036499s
vgg19_num-11900 top1:0.7156302521008403, top5:0.9009243697478991, time cost: 1.2044730186462402s
vgg19_num-12000 top1:0.716, top5:0.901, time cost: 1.195652961730957s
vgg19_num-12100 top1:0.7163636363636363, top5:0.9013223140495867, time cost: 1.2850632667541504s
vgg19_num-12200 top1:0.7156557377049181, top5:0.9010655737704918, time cost: 1.282304286956787s
vgg19_num-12300 top1:0.7157723577235773, top5:0.90130081300813, time cost: 1.3187470436096191s
vgg19_num-12400 top1:0.7162096774193548, top5:0.9014516129032258, time cost: 1.240382194519043s
vgg19_num-12500 top1:0.7168, top5:0.90144, time cost: 1.2203764915466309s
vgg19_num-12600 top1:0.716984126984127, top5:0.9015873015873016, time cost: 1.3266246318817139s
vgg19_num-12700 top1:0.7162204724409449, top5:0.9011023622047244, time cost: 1.2033464908599854s
vgg19_num-12800 top1:0.716640625, top5:0.90109375, time cost: 1.1997730731964111s
vgg19_num-12900 top1:0.7162015503875969, top5:0.9008527131782946, time cost: 1.2354753017425537s
vgg19_num-13000 top1:0.7168461538461538, top5:0.9012307692307693, time cost: 1.2014648914337158s
vgg19_num-13100 top1:0.7165648854961832, top5:0.9012213740458015, time cost: 1.228724479675293s
vgg19_num-13200 top1:0.7165909090909091, top5:0.9011363636363636, time cost: 1.1910901069641113s
vgg19_num-13300 top1:0.7158646616541353, top5:0.9009774436090225, time cost: 1.2127346992492676s
vgg19_num-13400 top1:0.7156716417910448, top5:0.9009701492537313, time cost: 1.193532943725586s
vgg19_num-13500 top1:0.7152592592592593, top5:0.9011851851851852, time cost: 1.3560259342193604s
vgg19_num-13600 top1:0.7147794117647058, top5:0.9008088235294117, time cost: 1.293621301651001s
vgg19_num-13700 top1:0.714087591240876, top5:0.9000729927007299, time cost: 1.2212612628936768s
vgg19_num-13800 top1:0.7140579710144928, top5:0.9000724637681159, time cost: 1.2100746631622314s
vgg19_num-13900 top1:0.7140287769784173, top5:0.8999280575539569, time cost: 1.3005268573760986s
vgg19_num-14000 top1:0.7143571428571428, top5:0.9, time cost: 1.2114067077636719s
vgg19_num-14100 top1:0.7142553191489361, top5:0.9002127659574468, time cost: 1.313551425933838s
vgg19_num-14200 top1:0.7140140845070423, top5:0.9002112676056339, time cost: 1.1984694004058838s
vgg19_num-14300 top1:0.7135664335664336, top5:0.8998601398601399, time cost: 1.2361023426055908s
vgg19_num-14400 top1:0.7136805555555555, top5:0.9, time cost: 1.2712912559509277s
vgg19_num-14500 top1:0.7134482758620689, top5:0.8996551724137931, time cost: 1.1895930767059326s
vgg19_num-14600 top1:0.7135616438356165, top5:0.8995205479452055, time cost: 1.222078800201416s
vgg19_num-14700 top1:0.7133333333333334, top5:0.8994557823129252, time cost: 1.2436988353729248s
vgg19_num-14800 top1:0.7135135135135136, top5:0.899527027027027, time cost: 1.193594217300415s
vgg19_num-14900 top1:0.7132214765100671, top5:0.8993959731543624, time cost: 1.2735569477081299s
vgg19_num-15000 top1:0.7131333333333333, top5:0.8988666666666667, time cost: 1.2394022941589355s
vgg19_num-15100 top1:0.7132450331125828, top5:0.8988741721854304, time cost: 1.200321912765503s
vgg19_num-15200 top1:0.7135526315789473, top5:0.8988815789473684, time cost: 1.2494361400604248s
vgg19_num-15300 top1:0.7137908496732026, top5:0.8990849673202614, time cost: 1.1960749626159668s
vgg19_num-15400 top1:0.7138311688311688, top5:0.8992857142857142, time cost: 1.1996779441833496s
vgg19_num-15500 top1:0.7138064516129032, top5:0.8990967741935484, time cost: 1.2278342247009277s
vgg19_num-15600 top1:0.7133974358974359, top5:0.8989102564102565, time cost: 1.2315375804901123s
vgg19_num-15700 top1:0.7134394904458599, top5:0.8989808917197453, time cost: 1.2088849544525146s
vgg19_num-15800 top1:0.7132911392405064, top5:0.8991772151898734, time cost: 1.2442190647125244s
vgg19_num-15900 top1:0.7130817610062893, top5:0.899245283018868, time cost: 1.196739673614502s
vgg19_num-16000 top1:0.7133125, top5:0.899625, time cost: 1.2159128189086914s
vgg19_num-16100 top1:0.7131055900621118, top5:0.8993788819875776, time cost: 1.193399429321289s
vgg19_num-16200 top1:0.7130246913580247, top5:0.8996296296296297, time cost: 1.1917474269866943s
vgg19_num-16300 top1:0.7128834355828221, top5:0.8994478527607362, time cost: 1.3506262302398682s
vgg19_num-16400 top1:0.7133536585365854, top5:0.8996341463414634, time cost: 1.2234361171722412s
vgg19_num-16500 top1:0.7129696969696969, top5:0.8992121212121212, time cost: 1.2487330436706543s
vgg19_num-16600 top1:0.7133132530120482, top5:0.8993975903614457, time cost: 1.242772102355957s
vgg19_num-16700 top1:0.712994011976048, top5:0.8992215568862275, time cost: 1.2250471115112305s
vgg19_num-16800 top1:0.7126785714285714, top5:0.8992261904761905, time cost: 1.230755090713501s
vgg19_num-16900 top1:0.7127218934911242, top5:0.8989940828402367, time cost: 1.190725564956665s
vgg19_num-17000 top1:0.7129411764705882, top5:0.899235294117647, time cost: 1.2083766460418701s
vgg19_num-17100 top1:0.7127485380116959, top5:0.8988304093567251, time cost: 1.214374303817749s
vgg19_num-17200 top1:0.7128488372093024, top5:0.8987790697674418, time cost: 1.2209680080413818s
vgg19_num-17300 top1:0.7131791907514451, top5:0.8989595375722543, time cost: 1.2373034954071045s
vgg19_num-17400 top1:0.7129885057471265, top5:0.8987931034482759, time cost: 1.259690284729004s
vgg19_num-17500 top1:0.7130857142857143, top5:0.8986857142857143, time cost: 1.240992546081543s
vgg19_num-17600 top1:0.7132386363636364, top5:0.8989204545454546, time cost: 1.2551112174987793s
vgg19_num-17700 top1:0.713276836158192, top5:0.8987570621468927, time cost: 1.2409987449645996s
vgg19_num-17800 top1:0.7131460674157304, top5:0.8986516853932585, time cost: 1.2841486930847168s
vgg19_num-17900 top1:0.7129608938547486, top5:0.8984916201117319, time cost: 1.4236412048339844s
vgg19_num-18000 top1:0.7129444444444445, top5:0.8985, time cost: 1.2058360576629639s
vgg19_num-18100 top1:0.7124309392265193, top5:0.898121546961326, time cost: 1.2027215957641602s
vgg19_num-18200 top1:0.7125274725274725, top5:0.8983516483516484, time cost: 1.2724785804748535s
vgg19_num-18300 top1:0.7125136612021858, top5:0.8983060109289618, time cost: 1.2444403171539307s
vgg19_num-18400 top1:0.7120652173913044, top5:0.8981521739130435, time cost: 1.2273573875427246s
vgg19_num-18500 top1:0.7118918918918918, top5:0.8983243243243243, time cost: 1.2139346599578857s
vgg19_num-18600 top1:0.7116129032258065, top5:0.8984946236559139, time cost: 1.2250339984893799s
vgg19_num-18700 top1:0.7115508021390374, top5:0.8984491978609626, time cost: 1.2658052444458008s
vgg19_num-18800 top1:0.7114893617021276, top5:0.8984042553191489, time cost: 1.2037937641143799s
vgg19_num-18900 top1:0.7111640211640211, top5:0.8982539682539683, time cost: 1.2064964771270752s
vgg19_num-19000 top1:0.7113157894736842, top5:0.8983684210526316, time cost: 1.3197462558746338s
vgg19_num-19100 top1:0.7117801047120419, top5:0.8985340314136125, time cost: 1.2174971103668213s
vgg19_num-19200 top1:0.7117708333333334, top5:0.8984895833333333, time cost: 1.2420592308044434s
vgg19_num-19300 top1:0.7114507772020725, top5:0.8985492227979275, time cost: 1.2633800506591797s
vgg19_num-19400 top1:0.7112886597938144, top5:0.8985567010309279, time cost: 1.191530704498291s
vgg19_num-19500 top1:0.7113846153846154, top5:0.8984615384615384, time cost: 1.314493179321289s
vgg19_num-19600 top1:0.7114795918367347, top5:0.8983673469387755, time cost: 1.2159173488616943s
vgg19_num-19700 top1:0.7111167512690355, top5:0.8984771573604061, time cost: 1.2433066368103027s
vgg19_num-19800 top1:0.7111616161616162, top5:0.8984343434343435, time cost: 1.2012953758239746s
vgg19_num-19900 top1:0.7109045226130654, top5:0.8981909547738693, time cost: 1.2378828525543213s
vgg19_num-20000 top1:0.71075, top5:0.89805, time cost: 1.2388639450073242s
vgg19_num-20100 top1:0.7107960199004976, top5:0.8984577114427861, time cost: 1.2019319534301758s
vgg19_num-20200 top1:0.7106930693069307, top5:0.8981683168316832, time cost: 1.2203631401062012s
vgg19_num-20300 top1:0.7105418719211822, top5:0.8982266009852217, time cost: 1.2054944038391113s
vgg19_num-20400 top1:0.7107843137254902, top5:0.8984313725490196, time cost: 1.1900711059570312s
vgg19_num-20500 top1:0.710780487804878, top5:0.898390243902439, time cost: 1.311225414276123s
vgg19_num-20600 top1:0.7107766990291262, top5:0.8984951456310679, time cost: 1.1989498138427734s
vgg19_num-20700 top1:0.7108695652173913, top5:0.8984541062801933, time cost: 1.2298688888549805s
vgg19_num-20800 top1:0.7109134615384616, top5:0.8986057692307692, time cost: 1.217219591140747s
vgg19_num-20900 top1:0.710956937799043, top5:0.8986124401913875, time cost: 1.1879096031188965s
vgg19_num-21000 top1:0.7112380952380952, top5:0.8987142857142857, time cost: 1.2206106185913086s
vgg19_num-21100 top1:0.7112796208530806, top5:0.8987203791469194, time cost: 1.2031311988830566s
vgg19_num-21200 top1:0.7112735849056604, top5:0.8987264150943396, time cost: 1.2035133838653564s
vgg19_num-21300 top1:0.7116901408450704, top5:0.8989671361502347, time cost: 1.2559633255004883s
vgg19_num-21400 top1:0.7115420560747664, top5:0.8988785046728972, time cost: 1.194455862045288s
vgg19_num-21500 top1:0.711906976744186, top5:0.8988837209302326, time cost: 1.1882219314575195s
vgg19_num-21600 top1:0.7118981481481481, top5:0.8989351851851852, time cost: 1.1852495670318604s
vgg19_num-21700 top1:0.7121658986175116, top5:0.8992165898617511, time cost: 1.246063232421875s
vgg19_num-21800 top1:0.7122935779816514, top5:0.8992201834862386, time cost: 1.2102959156036377s
vgg19_num-21900 top1:0.7122374429223745, top5:0.8992237442922374, time cost: 1.2315092086791992s
vgg19_num-22000 top1:0.7123636363636363, top5:0.8992727272727272, time cost: 1.2095646858215332s
vgg19_num-22100 top1:0.7122171945701358, top5:0.8992307692307693, time cost: 1.2116243839263916s
vgg19_num-22200 top1:0.7122072072072072, top5:0.8990990990990991, time cost: 1.188685655593872s
vgg19_num-22300 top1:0.7118834080717489, top5:0.899103139013453, time cost: 1.1950087547302246s
vgg19_num-22400 top1:0.7120535714285714, top5:0.8993303571428571, time cost: 1.2188513278961182s
vgg19_num-22500 top1:0.7123555555555555, top5:0.8994666666666666, time cost: 1.361449956893921s
vgg19_num-22600 top1:0.7124778761061947, top5:0.8993362831858407, time cost: 1.2383289337158203s
vgg19_num-22700 top1:0.71215859030837, top5:0.899295154185022, time cost: 1.2391135692596436s
vgg19_num-22800 top1:0.7121929824561404, top5:0.8992105263157895, time cost: 1.2021355628967285s
vgg19_num-22900 top1:0.7122270742358079, top5:0.8991703056768559, time cost: 1.2091090679168701s
vgg19_num-23000 top1:0.712, top5:0.8991304347826087, time cost: 1.2186424732208252s
vgg19_num-23100 top1:0.712034632034632, top5:0.8989177489177489, time cost: 1.2288730144500732s
vgg19_num-23200 top1:0.7117241379310345, top5:0.8986637931034482, time cost: 1.2426114082336426s
vgg19_num-23300 top1:0.7117167381974249, top5:0.8985407725321889, time cost: 1.2594788074493408s
vgg19_num-23400 top1:0.7118376068376069, top5:0.8986324786324786, time cost: 1.2160558700561523s
vgg19_num-23500 top1:0.7122553191489361, top5:0.8987659574468085, time cost: 1.2242109775543213s
vgg19_num-23600 top1:0.7123305084745762, top5:0.898771186440678, time cost: 1.2077794075012207s
vgg19_num-23700 top1:0.7115611814345991, top5:0.8987763713080169, time cost: 1.2221918106079102s
vgg19_num-23800 top1:0.7115966386554622, top5:0.8988235294117647, time cost: 1.2408394813537598s
vgg19_num-23900 top1:0.7115899581589958, top5:0.8987447698744769, time cost: 1.1951587200164795s
vgg19_num-24000 top1:0.7112083333333333, top5:0.8985416666666667, time cost: 1.1984844207763672s
vgg19_num-24100 top1:0.7112863070539419, top5:0.8983817427385892, time cost: 1.2649128437042236s
vgg19_num-24200 top1:0.7113636363636363, top5:0.898305785123967, time cost: 1.2475874423980713s
vgg19_num-24300 top1:0.711440329218107, top5:0.8982304526748971, time cost: 1.2633910179138184s
vgg19_num-24400 top1:0.7116393442622951, top5:0.8981967213114754, time cost: 1.348287582397461s
vgg19_num-24500 top1:0.7113877551020408, top5:0.8981632653061224, time cost: 1.232100009918213s
vgg19_num-24600 top1:0.7117073170731707, top5:0.8983739837398373, time cost: 1.2394678592681885s
vgg19_num-24700 top1:0.71165991902834, top5:0.89834008097166, time cost: 1.2199699878692627s
vgg19_num-24800 top1:0.7115322580645161, top5:0.8985483870967742, time cost: 1.2117905616760254s
vgg19_num-24900 top1:0.7115261044176707, top5:0.8985943775100401, time cost: 1.2069799900054932s
vgg19_num-25000 top1:0.71132, top5:0.89832, time cost: 1.225512981414795s
vgg19_num-25100 top1:0.7111553784860558, top5:0.898406374501992, time cost: 1.1897413730621338s
vgg19_num-25200 top1:0.711031746031746, top5:0.898452380952381, time cost: 1.2183482646942139s
vgg19_num-25300 top1:0.7111462450592886, top5:0.8985375494071146, time cost: 1.2237484455108643s
vgg19_num-25400 top1:0.711259842519685, top5:0.8986220472440944, time cost: 1.3013672828674316s
vgg19_num-25500 top1:0.7112549019607843, top5:0.8986666666666666, time cost: 1.2657585144042969s
vgg19_num-25600 top1:0.7114453125, top5:0.8987109375, time cost: 1.1967365741729736s
vgg19_num-25700 top1:0.7115175097276265, top5:0.8988326848249028, time cost: 1.1775131225585938s
vgg19_num-25800 top1:0.7112403100775194, top5:0.8987596899224806, time cost: 1.20579195022583s
vgg19_num-25900 top1:0.7113513513513513, top5:0.8988030888030888, time cost: 1.2335829734802246s
vgg19_num-26000 top1:0.7112692307692308, top5:0.8989615384615385, time cost: 1.217470645904541s
vgg19_num-26100 top1:0.7111877394636016, top5:0.899080459770115, time cost: 1.1999516487121582s
vgg19_num-26200 top1:0.7111832061068702, top5:0.8989312977099236, time cost: 1.1935219764709473s
