densenet121_num-100 top1:0.72, top5:0.94, time cost: 2.2061474323272705s
densenet121_num-200 top1:0.72, top5:0.905, time cost: 2.1077117919921875s
densenet121_num-300 top1:0.7033333333333334, top5:0.8933333333333333, time cost: 2.1496083736419678s
densenet121_num-400 top1:0.71, top5:0.9025, time cost: 2.154256582260132s
densenet121_num-500 top1:0.732, top5:0.918, time cost: 2.1815834045410156s
densenet121_num-600 top1:0.7366666666666667, top5:0.915, time cost: 2.2737462520599365s
densenet121_num-700 top1:0.7457142857142857, top5:0.9214285714285714, time cost: 2.1439690589904785s
densenet121_num-800 top1:0.75, top5:0.9225, time cost: 2.2259812355041504s
densenet121_num-900 top1:0.7555555555555555, top5:0.9222222222222223, time cost: 2.148782968521118s
densenet121_num-1000 top1:0.752, top5:0.923, time cost: 2.16157603263855s
densenet121_num-1100 top1:0.7572727272727273, top5:0.9236363636363636, time cost: 2.352916717529297s
densenet121_num-1200 top1:0.7591666666666667, top5:0.9233333333333333, time cost: 2.2494256496429443s
densenet121_num-1300 top1:0.7630769230769231, top5:0.9253846153846154, time cost: 2.1677563190460205s
densenet121_num-1400 top1:0.7628571428571429, top5:0.9264285714285714, time cost: 2.2523906230926514s
densenet121_num-1500 top1:0.7613333333333333, top5:0.9266666666666666, time cost: 2.3690688610076904s
densenet121_num-1600 top1:0.75625, top5:0.923125, time cost: 2.35602068901062s
densenet121_num-1700 top1:0.7529411764705882, top5:0.9229411764705883, time cost: 2.4918577671051025s
densenet121_num-1800 top1:0.7477777777777778, top5:0.9222222222222223, time cost: 2.432894229888916s
densenet121_num-1900 top1:0.7505263157894737, top5:0.9231578947368421, time cost: 2.339169979095459s
densenet121_num-2000 top1:0.751, top5:0.922, time cost: 2.384932518005371s
densenet121_num-2100 top1:0.7542857142857143, top5:0.9223809523809524, time cost: 2.487750291824341s
densenet121_num-2200 top1:0.7522727272727273, top5:0.9227272727272727, time cost: 2.4474234580993652s
densenet121_num-2300 top1:0.7526086956521739, top5:0.9239130434782609, time cost: 2.504873752593994s
densenet121_num-2400 top1:0.75375, top5:0.9245833333333333, time cost: 2.388474702835083s
densenet121_num-2500 top1:0.7552, top5:0.926, time cost: 2.427011013031006s
densenet121_num-2600 top1:0.7530769230769231, top5:0.9261538461538461, time cost: 2.423018217086792s
densenet121_num-2700 top1:0.7537037037037037, top5:0.9266666666666666, time cost: 2.450024366378784s
densenet121_num-2800 top1:0.7532142857142857, top5:0.9257142857142857, time cost: 2.5002353191375732s
densenet121_num-2900 top1:0.7544827586206897, top5:0.9272413793103448, time cost: 2.4245526790618896s
densenet121_num-3000 top1:0.754, top5:0.926, time cost: 2.500460386276245s
densenet121_num-3100 top1:0.7519354838709678, top5:0.9258064516129032, time cost: 2.448925256729126s
densenet121_num-3200 top1:0.7509375, top5:0.9253125, time cost: 2.473938226699829s
densenet121_num-3300 top1:0.7506060606060606, top5:0.9251515151515152, time cost: 2.435204267501831s
densenet121_num-3400 top1:0.7502941176470588, top5:0.9261764705882353, time cost: 2.4324939250946045s
densenet121_num-3500 top1:0.7494285714285714, top5:0.9262857142857143, time cost: 2.39656925201416s
densenet121_num-3600 top1:0.75, top5:0.9261111111111111, time cost: 2.487091302871704s
densenet121_num-3700 top1:0.7513513513513513, top5:0.9264864864864865, time cost: 2.402139186859131s
densenet121_num-3800 top1:0.75, top5:0.9247368421052632, time cost: 2.3933095932006836s
densenet121_num-3900 top1:0.7502564102564102, top5:0.9253846153846154, time cost: 2.3958966732025146s
densenet121_num-4000 top1:0.75, top5:0.92475, time cost: 2.3876266479492188s
densenet121_num-4100 top1:0.7504878048780488, top5:0.9243902439024391, time cost: 2.337064743041992s
densenet121_num-4200 top1:0.7495238095238095, top5:0.9235714285714286, time cost: 2.2628331184387207s
densenet121_num-4300 top1:0.7493023255813953, top5:0.923953488372093, time cost: 2.2919044494628906s
densenet121_num-4400 top1:0.7495454545454545, top5:0.9236363636363636, time cost: 2.3495638370513916s
densenet121_num-4500 top1:0.7508888888888889, top5:0.924, time cost: 2.3328378200531006s
densenet121_num-4600 top1:0.75, top5:0.923695652173913, time cost: 2.280812978744507s
densenet121_num-4700 top1:0.75, top5:0.9236170212765957, time cost: 2.3102898597717285s
densenet121_num-4800 top1:0.749375, top5:0.9245833333333333, time cost: 2.2770206928253174s
densenet121_num-4900 top1:0.7495918367346939, top5:0.9242857142857143, time cost: 2.311556339263916s
densenet121_num-5000 top1:0.7508, top5:0.9244, time cost: 2.266864538192749s
densenet121_num-5100 top1:0.7496078431372549, top5:0.9237254901960784, time cost: 2.3159983158111572s
densenet121_num-5200 top1:0.7513461538461539, top5:0.9234615384615384, time cost: 2.3455042839050293s
densenet121_num-5300 top1:0.7516981132075472, top5:0.9235849056603773, time cost: 2.4296441078186035s
densenet121_num-5400 top1:0.7509259259259259, top5:0.9233333333333333, time cost: 2.3766722679138184s
densenet121_num-5500 top1:0.7503636363636363, top5:0.9238181818181819, time cost: 2.3896749019622803s
densenet121_num-5600 top1:0.7505357142857143, top5:0.9235714285714286, time cost: 2.3856866359710693s
densenet121_num-5700 top1:0.7507017543859649, top5:0.923859649122807, time cost: 2.394651174545288s
densenet121_num-5800 top1:0.751551724137931, top5:0.9243103448275862, time cost: 2.3567802906036377s
densenet121_num-5900 top1:0.7520338983050847, top5:0.9244067796610169, time cost: 2.392648696899414s
densenet121_num-6000 top1:0.7515, top5:0.9246666666666666, time cost: 2.364824056625366s
densenet121_num-6100 top1:0.7519672131147541, top5:0.9245901639344263, time cost: 2.39862060546875s
densenet121_num-6200 top1:0.7509677419354839, top5:0.9240322580645162, time cost: 2.4055566787719727s
densenet121_num-6300 top1:0.7514285714285714, top5:0.9238095238095239, time cost: 2.391463279724121s
densenet121_num-6400 top1:0.75203125, top5:0.92375, time cost: 2.5010452270507812s
densenet121_num-6500 top1:0.7530769230769231, top5:0.9243076923076923, time cost: 2.2748405933380127s
densenet121_num-6600 top1:0.7537878787878788, top5:0.9242424242424242, time cost: 2.320399045944214s
densenet121_num-6700 top1:0.7541791044776119, top5:0.9240298507462686, time cost: 2.3417627811431885s
densenet121_num-6800 top1:0.7544117647058823, top5:0.9236764705882353, time cost: 2.2930476665496826s
densenet121_num-6900 top1:0.7534782608695653, top5:0.9234782608695652, time cost: 2.2793755531311035s
densenet121_num-7000 top1:0.7538571428571429, top5:0.924, time cost: 2.2833220958709717s
densenet121_num-7100 top1:0.7538028169014085, top5:0.9240845070422535, time cost: 2.3012094497680664s
densenet121_num-7200 top1:0.7544444444444445, top5:0.9243055555555556, time cost: 2.2924013137817383s
densenet121_num-7300 top1:0.7535616438356164, top5:0.9238356164383562, time cost: 2.3151066303253174s
densenet121_num-7400 top1:0.7532432432432432, top5:0.9236486486486486, time cost: 2.40360951423645s
densenet121_num-7500 top1:0.7532, top5:0.9237333333333333, time cost: 2.389897346496582s
densenet121_num-7600 top1:0.7531578947368421, top5:0.9238157894736843, time cost: 2.388768196105957s
densenet121_num-7700 top1:0.7527272727272727, top5:0.924025974025974, time cost: 2.3633313179016113s
densenet121_num-7800 top1:0.7525641025641026, top5:0.923974358974359, time cost: 2.3211617469787598s
densenet121_num-7900 top1:0.7526582278481012, top5:0.9243037974683544, time cost: 2.3664932250976562s
densenet121_num-8000 top1:0.7525, top5:0.924125, time cost: 2.378648042678833s
densenet121_num-8100 top1:0.7525925925925926, top5:0.924320987654321, time cost: 2.4110066890716553s
densenet121_num-8200 top1:0.7528048780487805, top5:0.9239024390243903, time cost: 2.3985373973846436s
densenet121_num-8300 top1:0.7527710843373494, top5:0.923855421686747, time cost: 2.5208637714385986s
densenet121_num-8400 top1:0.7528571428571429, top5:0.9238095238095239, time cost: 2.3973817825317383s
densenet121_num-8500 top1:0.7525882352941177, top5:0.9241176470588235, time cost: 2.3925981521606445s
densenet121_num-8600 top1:0.7517441860465116, top5:0.9230232558139535, time cost: 2.400960683822632s
densenet121_num-8700 top1:0.751264367816092, top5:0.9229885057471264, time cost: 2.376981496810913s
densenet121_num-8800 top1:0.7509090909090909, top5:0.9230681818181818, time cost: 2.3000948429107666s
densenet121_num-8900 top1:0.751123595505618, top5:0.9233707865168539, time cost: 2.3780970573425293s
densenet121_num-9000 top1:0.7511111111111111, top5:0.9234444444444444, time cost: 2.4567818641662598s
densenet121_num-9100 top1:0.7523076923076923, top5:0.9236263736263737, time cost: 2.37420392036438s
densenet121_num-9200 top1:0.7526086956521739, top5:0.923804347826087, time cost: 2.4195644855499268s
densenet121_num-9300 top1:0.7529032258064516, top5:0.923763440860215, time cost: 2.3194069862365723s
densenet121_num-9400 top1:0.7529787234042553, top5:0.9238297872340425, time cost: 2.412327766418457s
densenet121_num-9500 top1:0.7528421052631579, top5:0.923578947368421, time cost: 2.319990634918213s
densenet121_num-9600 top1:0.7520833333333333, top5:0.9229166666666667, time cost: 2.3384392261505127s
densenet121_num-9700 top1:0.7516494845360825, top5:0.9223711340206185, time cost: 2.387646198272705s
densenet121_num-9800 top1:0.7518367346938776, top5:0.9226530612244898, time cost: 2.3905436992645264s
densenet121_num-9900 top1:0.7514141414141414, top5:0.9228282828282828, time cost: 2.4141647815704346s
densenet121_num-10000 top1:0.7525, top5:0.9234, time cost: 2.394709825515747s
