mobilenetv2_num-6700 top1:0.7204477611940299, top5:0.903134328358209, time cost: 3.9567067623138428s
mobilenetv2_num-6800 top1:0.720735294117647, top5:0.9029411764705882, time cost: 4.059187650680542s
mobilenetv2_num-6900 top1:0.7201449275362319, top5:0.9023188405797101, time cost: 4.021605730056763s
mobilenetv2_num-7000 top1:0.7215714285714285, top5:0.9027142857142857, time cost: 3.9388680458068848s
mobilenetv2_num-7100 top1:0.7222535211267606, top5:0.9025352112676056, time cost: 4.031257152557373s
mobilenetv2_num-7200 top1:0.7223611111111111, top5:0.9026388888888889, time cost: 3.987379789352417s
mobilenetv2_num-7300 top1:0.7216438356164384, top5:0.9024657534246575, time cost: 3.919335126876831s
mobilenetv2_num-7400 top1:0.7216216216216216, top5:0.9024324324324324, time cost: 3.9787981510162354s
mobilenetv2_num-7500 top1:0.7212, top5:0.9018666666666667, time cost: 4.0698840618133545s
mobilenetv2_num-7600 top1:0.7207894736842105, top5:0.9023684210526316, time cost: 3.9633750915527344s
mobilenetv2_num-7700 top1:0.7214285714285714, top5:0.9027272727272727, time cost: 4.014641284942627s
mobilenetv2_num-7800 top1:0.7206410256410256, top5:0.9023076923076923, time cost: 3.9200642108917236s
mobilenetv2_num-7900 top1:0.7210126582278481, top5:0.9026582278481012, time cost: 3.8814053535461426s
mobilenetv2_num-8000 top1:0.72125, top5:0.90275, time cost: 3.9412057399749756s
mobilenetv2_num-8100 top1:0.721358024691358, top5:0.9032098765432098, time cost: 3.941617250442505s
mobilenetv2_num-8200 top1:0.7213414634146341, top5:0.9028048780487805, time cost: 3.948821783065796s
mobilenetv2_num-8300 top1:0.7216867469879518, top5:0.903012048192771, time cost: 4.056986331939697s
mobilenetv2_num-8400 top1:0.7217857142857143, top5:0.9027380952380952, time cost: 3.9379146099090576s
mobilenetv2_num-8500 top1:0.721764705882353, top5:0.9029411764705882, time cost: 3.9084644317626953s
mobilenetv2_num-8600 top1:0.721046511627907, top5:0.9024418604651163, time cost: 3.9392240047454834s
mobilenetv2_num-8700 top1:0.7208045977011495, top5:0.9026436781609195, time cost: 3.9511430263519287s
mobilenetv2_num-8800 top1:0.7205681818181818, top5:0.9026136363636363, time cost: 3.9333789348602295s
mobilenetv2_num-8900 top1:0.7203370786516854, top5:0.9029213483146067, time cost: 3.9464268684387207s
mobilenetv2_num-9000 top1:0.7203333333333334, top5:0.9031111111111111, time cost: 4.0020341873168945s
mobilenetv2_num-9100 top1:0.7212087912087912, top5:0.9030769230769231, time cost: 3.979520559310913s
mobilenetv2_num-9200 top1:0.7215217391304348, top5:0.9032608695652173, time cost: 4.030271291732788s
mobilenetv2_num-9300 top1:0.7217204301075268, top5:0.9029032258064517, time cost: 3.9885075092315674s
