densenet169_num-7000 top1:0.7642857142857142, top5:0.9351428571428572, time cost: 3.0139851570129395s
densenet169_num-7100 top1:0.7646478873239436, top5:0.9352112676056338, time cost: 3.120732069015503s
densenet169_num-7200 top1:0.7648611111111111, top5:0.935, time cost: 3.1509883403778076s
densenet169_num-7300 top1:0.7645205479452055, top5:0.9345205479452054, time cost: 3.1232798099517822s
densenet169_num-7400 top1:0.7644594594594595, top5:0.9344594594594594, time cost: 3.0819649696350098s
densenet169_num-7500 top1:0.7641333333333333, top5:0.9345333333333333, time cost: 3.008274793624878s
densenet169_num-7600 top1:0.7639473684210526, top5:0.9348684210526316, time cost: 3.011613368988037s
densenet169_num-7700 top1:0.764025974025974, top5:0.934935064935065, time cost: 3.004272937774658s
densenet169_num-7800 top1:0.764102564102564, top5:0.9344871794871795, time cost: 3.1316826343536377s
densenet169_num-7900 top1:0.7643037974683544, top5:0.9348101265822785, time cost: 3.1267781257629395s
densenet169_num-8000 top1:0.764375, top5:0.934625, time cost: 3.1389431953430176s
densenet169_num-8100 top1:0.7646913580246913, top5:0.9349382716049383, time cost: 3.1560990810394287s
densenet169_num-8200 top1:0.7651219512195122, top5:0.9346341463414635, time cost: 3.1521947383880615s
densenet169_num-8300 top1:0.7640963855421686, top5:0.934578313253012, time cost: 3.2682700157165527s
densenet169_num-8400 top1:0.7641666666666667, top5:0.9338095238095238, time cost: 3.0586018562316895s
densenet169_num-8500 top1:0.764, top5:0.934235294117647, time cost: 3.0644848346710205s
densenet169_num-8600 top1:0.7627906976744186, top5:0.9338372093023256, time cost: 3.1396896839141846s
densenet169_num-8700 top1:0.7629885057471264, top5:0.9335632183908046, time cost: 3.152109146118164s
densenet169_num-8800 top1:0.7630681818181818, top5:0.9335227272727272, time cost: 3.1353886127471924s
densenet169_num-8900 top1:0.7635955056179775, top5:0.9335955056179776, time cost: 3.1257576942443848s
densenet169_num-9000 top1:0.7641111111111111, top5:0.9336666666666666, time cost: 3.196730852127075s
densenet169_num-9100 top1:0.7647252747252747, top5:0.9339560439560439, time cost: 3.1176605224609375s
densenet169_num-9200 top1:0.7653260869565217, top5:0.9341304347826087, time cost: 3.0438835620880127s
densenet169_num-9300 top1:0.7655913978494624, top5:0.9339784946236559, time cost: 3.045609951019287s
densenet169_num-9400 top1:0.7657446808510638, top5:0.9337234042553192, time cost: 3.144526243209839s
densenet169_num-9500 top1:0.7656842105263157, top5:0.9335789473684211, time cost: 3.058225154876709s
densenet169_num-9600 top1:0.7648958333333333, top5:0.9334375, time cost: 3.0661399364471436s
densenet169_num-9700 top1:0.764639175257732, top5:0.932680412371134, time cost: 3.0209736824035645s
densenet169_num-9800 top1:0.7646938775510204, top5:0.9327551020408164, time cost: 3.1398775577545166s
densenet169_num-9900 top1:0.7643434343434343, top5:0.9327272727272727, time cost: 3.1560564041137695s
densenet169_num-10000 top1:0.765, top5:0.9331, time cost: 3.142965078353882s
densenet169_num-10100 top1:0.7651485148514852, top5:0.9330693069306931, time cost: 3.1635582447052s
densenet169_num-10200 top1:0.765686274509804, top5:0.9333333333333333, time cost: 3.1398980617523193s
densenet169_num-10300 top1:0.7654368932038835, top5:0.9333009708737864, time cost: 3.013700008392334s
densenet169_num-10400 top1:0.7651923076923077, top5:0.9334615384615385, time cost: 3.017075538635254s
densenet169_num-10500 top1:0.7653333333333333, top5:0.9334285714285714, time cost: 3.0185399055480957s
densenet169_num-10600 top1:0.7649056603773585, top5:0.9332075471698114, time cost: 3.093363046646118s
densenet169_num-10700 top1:0.7647663551401869, top5:0.9332710280373832, time cost: 3.047489881515503s
densenet169_num-10800 top1:0.7644444444444445, top5:0.9334259259259259, time cost: 3.02247953414917s
densenet169_num-10900 top1:0.7646788990825688, top5:0.933394495412844, time cost: 3.007842540740967s
densenet169_num-11000 top1:0.7645454545454545, top5:0.9334545454545454, time cost: 3.1131269931793213s
densenet169_num-11100 top1:0.7645945945945946, top5:0.9335135135135135, time cost: 3.0940423011779785s
densenet169_num-11200 top1:0.7645535714285714, top5:0.9334821428571428, time cost: 3.0470800399780273s
densenet169_num-11300 top1:0.7645132743362831, top5:0.9336283185840708, time cost: 3.120800733566284s
densenet169_num-11400 top1:0.7643859649122807, top5:0.9335964912280702, time cost: 3.0319857597351074s
densenet169_num-11500 top1:0.7647826086956522, top5:0.9336521739130434, time cost: 3.050645112991333s
densenet169_num-11600 top1:0.7644827586206897, top5:0.9331034482758621, time cost: 3.035651922225952s
densenet169_num-11700 top1:0.764102564102564, top5:0.9328205128205128, time cost: 3.0327680110931396s
densenet169_num-11800 top1:0.7640677966101694, top5:0.9329661016949152, time cost: 3.0462515354156494s
densenet169_num-11900 top1:0.7640336134453781, top5:0.9329411764705883, time cost: 3.0299108028411865s
densenet169_num-12000 top1:0.7640833333333333, top5:0.93275, time cost: 3.006540298461914s
densenet169_num-12100 top1:0.764297520661157, top5:0.9329752066115703, time cost: 3.1670992374420166s
