densenet161_num-100 top1:0.81, top5:0.97, time cost: 3.680040121078491s
densenet161_num-200 top1:0.775, top5:0.95, time cost: 3.4972403049468994s
densenet161_num-300 top1:0.7466666666666667, top5:0.9466666666666667, time cost: 3.5631988048553467s
densenet161_num-400 top1:0.7425, top5:0.945, time cost: 3.557873487472534s
densenet161_num-500 top1:0.752, top5:0.952, time cost: 3.5014991760253906s
densenet161_num-600 top1:0.755, top5:0.9483333333333334, time cost: 3.571864366531372s
densenet161_num-700 top1:0.76, top5:0.9542857142857143, time cost: 3.4493017196655273s
densenet161_num-800 top1:0.76625, top5:0.95125, time cost: 3.5489373207092285s
densenet161_num-900 top1:0.7644444444444445, top5:0.9488888888888889, time cost: 3.5569937229156494s
densenet161_num-1000 top1:0.767, top5:0.95, time cost: 3.4721410274505615s
densenet161_num-1100 top1:0.7772727272727272, top5:0.9509090909090909, time cost: 3.536315441131592s
densenet161_num-1200 top1:0.7808333333333334, top5:0.9533333333333334, time cost: 3.623504638671875s
densenet161_num-1300 top1:0.7823076923076923, top5:0.9538461538461539, time cost: 3.4738311767578125s
densenet161_num-1400 top1:0.7835714285714286, top5:0.9521428571428572, time cost: 3.512263774871826s
densenet161_num-1500 top1:0.7806666666666666, top5:0.952, time cost: 3.469168186187744s
densenet161_num-1600 top1:0.77625, top5:0.94875, time cost: 3.570482015609741s
densenet161_num-1700 top1:0.7747058823529411, top5:0.9470588235294117, time cost: 3.587066888809204s
densenet161_num-1800 top1:0.7744444444444445, top5:0.945, time cost: 3.507049322128296s
densenet161_num-1900 top1:0.7757894736842105, top5:0.9463157894736842, time cost: 3.468738317489624s
densenet161_num-2000 top1:0.772, top5:0.9435, time cost: 3.4834015369415283s
densenet161_num-2100 top1:0.7757142857142857, top5:0.9438095238095238, time cost: 3.5321662425994873s
densenet161_num-2200 top1:0.775, top5:0.9436363636363636, time cost: 3.486865997314453s
densenet161_num-2300 top1:0.7752173913043479, top5:0.9443478260869566, time cost: 3.520259380340576s
densenet161_num-2400 top1:0.7770833333333333, top5:0.945, time cost: 3.48034930229187s
densenet161_num-2500 top1:0.7792, top5:0.946, time cost: 3.601367235183716s
densenet161_num-2600 top1:0.7784615384615384, top5:0.9457692307692308, time cost: 3.489694595336914s
densenet161_num-2700 top1:0.7796296296296297, top5:0.9451851851851852, time cost: 3.5304324626922607s
densenet161_num-2800 top1:0.7796428571428572, top5:0.9435714285714286, time cost: 3.5397002696990967s
densenet161_num-2900 top1:0.7817241379310345, top5:0.9444827586206896, time cost: 3.483759641647339s
densenet161_num-3000 top1:0.7823333333333333, top5:0.945, time cost: 3.5163564682006836s
densenet161_num-3100 top1:0.7816129032258065, top5:0.944516129032258, time cost: 3.4611830711364746s
densenet161_num-3200 top1:0.779375, top5:0.9446875, time cost: 3.659640073776245s
densenet161_num-3300 top1:0.7793939393939394, top5:0.9445454545454546, time cost: 3.7436373233795166s
densenet161_num-3400 top1:0.78, top5:0.945, time cost: 3.7600247859954834s
densenet161_num-3500 top1:0.7802857142857142, top5:0.9451428571428572, time cost: 3.7480664253234863s
