resnet152_num-7000 top1:0.7735714285714286, top5:0.9347142857142857, time cost: 2.879011392593384s
resnet152_num-7100 top1:0.773943661971831, top5:0.9345070422535211, time cost: 2.9023990631103516s
resnet152_num-7200 top1:0.7741666666666667, top5:0.9345833333333333, time cost: 2.8859517574310303s
resnet152_num-7300 top1:0.7736986301369863, top5:0.933972602739726, time cost: 2.8726446628570557s
resnet152_num-7400 top1:0.7741891891891892, top5:0.9341891891891891, time cost: 3.0323221683502197s
resnet152_num-7500 top1:0.774, top5:0.9342666666666667, time cost: 2.94291090965271s
resnet152_num-7600 top1:0.7739473684210526, top5:0.9343421052631579, time cost: 2.9053783416748047s
resnet152_num-7700 top1:0.7742857142857142, top5:0.9344155844155844, time cost: 2.9801905155181885s
resnet152_num-7800 top1:0.7730769230769231, top5:0.9341025641025641, time cost: 2.892075538635254s
resnet152_num-7900 top1:0.7735443037974683, top5:0.9343037974683545, time cost: 2.8788671493530273s
resnet152_num-8000 top1:0.773875, top5:0.93425, time cost: 2.89021897315979s
resnet152_num-8100 top1:0.7739506172839506, top5:0.9344444444444444, time cost: 2.922382354736328s
resnet152_num-8200 top1:0.7741463414634147, top5:0.9340243902439025, time cost: 2.9070723056793213s
resnet152_num-8300 top1:0.7739759036144578, top5:0.9340963855421687, time cost: 3.014571189880371s
resnet152_num-8400 top1:0.7738095238095238, top5:0.9336904761904762, time cost: 2.900003433227539s
resnet152_num-8500 top1:0.7736470588235295, top5:0.934, time cost: 2.8881633281707764s
resnet152_num-8600 top1:0.7725581395348837, top5:0.9336046511627907, time cost: 2.902301549911499s
resnet152_num-8700 top1:0.7729885057471264, top5:0.9337931034482758, time cost: 2.9081528186798096s
resnet152_num-8800 top1:0.7734090909090909, top5:0.93375, time cost: 2.889777898788452s
resnet152_num-8900 top1:0.773370786516854, top5:0.933932584269663, time cost: 2.8893990516662598s
resnet152_num-9000 top1:0.7735555555555556, top5:0.9338888888888889, time cost: 2.9508056640625s
resnet152_num-9100 top1:0.7736263736263737, top5:0.9340659340659341, time cost: 2.886342763900757s
resnet152_num-9200 top1:0.773804347826087, top5:0.9339130434782609, time cost: 2.9248056411743164s
resnet152_num-9300 top1:0.7736559139784946, top5:0.9335483870967742, time cost: 2.9316487312316895s
resnet152_num-9400 top1:0.7736170212765957, top5:0.9331914893617022, time cost: 3.0283520221710205s
resnet152_num-9500 top1:0.7730526315789473, top5:0.9329473684210526, time cost: 2.9339218139648438s
resnet152_num-9600 top1:0.7723958333333333, top5:0.9327083333333334, time cost: 2.952434778213501s
resnet152_num-9700 top1:0.7719587628865979, top5:0.9322680412371134, time cost: 2.8989059925079346s
resnet152_num-9800 top1:0.771734693877551, top5:0.9323469387755102, time cost: 2.8987767696380615s
resnet152_num-9900 top1:0.7714141414141414, top5:0.9323232323232323, time cost: 2.9126815795898438s
resnet152_num-10000 top1:0.7719, top5:0.9328, time cost: 2.8997762203216553s
resnet152_num-10100 top1:0.771980198019802, top5:0.932970297029703, time cost: 2.920132637023926s
resnet152_num-10200 top1:0.7722549019607843, top5:0.932843137254902, time cost: 2.896397829055786s
resnet152_num-10300 top1:0.7721359223300971, top5:0.9329126213592233, time cost: 2.9050307273864746s
resnet152_num-10400 top1:0.771826923076923, top5:0.9325961538461538, time cost: 2.89719557762146s
resnet152_num-10500 top1:0.7716190476190476, top5:0.9326666666666666, time cost: 2.907799005508423s
resnet152_num-10600 top1:0.7714150943396226, top5:0.9324528301886792, time cost: 2.982574701309204s
resnet152_num-10700 top1:0.7711214953271028, top5:0.9322429906542056, time cost: 2.9296743869781494s
resnet152_num-10800 top1:0.7709259259259259, top5:0.9321296296296296, time cost: 2.9111666679382324s
resnet152_num-10900 top1:0.7710091743119266, top5:0.9319266055045872, time cost: 2.8949084281921387s
resnet152_num-11000 top1:0.7708181818181818, top5:0.9318181818181818, time cost: 2.983157157897949s
resnet152_num-11100 top1:0.7704504504504505, top5:0.9316216216216217, time cost: 2.9543297290802s
resnet152_num-11200 top1:0.7704464285714285, top5:0.9315178571428572, time cost: 2.8965582847595215s
resnet152_num-11300 top1:0.77, top5:0.9317699115044248, time cost: 2.9717507362365723s
resnet152_num-11400 top1:0.7707894736842106, top5:0.9316666666666666, time cost: 2.889369010925293s
resnet152_num-11500 top1:0.7712173913043479, top5:0.932, time cost: 2.90006947517395s
resnet152_num-11600 top1:0.770603448275862, top5:0.9317241379310345, time cost: 2.8885600566864014s
resnet152_num-11700 top1:0.7705128205128206, top5:0.9314529914529914, time cost: 2.9031472206115723s
resnet152_num-11800 top1:0.7703389830508475, top5:0.9316101694915254, time cost: 2.90498685836792s
resnet152_num-11900 top1:0.7700840336134454, top5:0.9316806722689076, time cost: 2.889380693435669s
resnet152_num-12000 top1:0.7705, top5:0.93175, time cost: 2.893214702606201s
resnet152_num-12100 top1:0.7708264462809917, top5:0.9320661157024793, time cost: 2.987046957015991s
resnet152_num-12200 top1:0.7708196721311475, top5:0.9318032786885246, time cost: 2.9766335487365723s
resnet152_num-12300 top1:0.770569105691057, top5:0.9317886178861788, time cost: 3.0036346912384033s
resnet152_num-12400 top1:0.7709677419354839, top5:0.9320967741935484, time cost: 2.9396207332611084s
resnet152_num-12500 top1:0.77184, top5:0.93248, time cost: 2.9258153438568115s
resnet152_num-12600 top1:0.7718253968253969, top5:0.9323015873015873, time cost: 3.030576705932617s
resnet152_num-12700 top1:0.771496062992126, top5:0.9322834645669291, time cost: 2.8928918838500977s
resnet152_num-12800 top1:0.77140625, top5:0.9321875, time cost: 2.893507957458496s
resnet152_num-12900 top1:0.7710852713178294, top5:0.9318604651162791, time cost: 2.9377787113189697s
resnet152_num-13000 top1:0.7714615384615384, top5:0.932, time cost: 2.8995437622070312s
resnet152_num-13100 top1:0.7714503816793893, top5:0.9319083969465649, time cost: 2.922999143600464s
resnet152_num-13200 top1:0.7711363636363636, top5:0.9318939393939394, time cost: 2.887247085571289s
resnet152_num-13300 top1:0.7709774436090225, top5:0.9317293233082706, time cost: 2.903212785720825s
resnet152_num-13400 top1:0.7708955223880597, top5:0.9317164179104478, time cost: 2.8957555294036865s
resnet152_num-13500 top1:0.7708148148148148, top5:0.9317777777777778, time cost: 3.0644185543060303s
resnet152_num-13600 top1:0.7704411764705882, top5:0.9317647058823529, time cost: 2.9853756427764893s
resnet152_num-13700 top1:0.7697810218978102, top5:0.9313868613138686, time cost: 2.928044319152832s
resnet152_num-13800 top1:0.7696376811594203, top5:0.9314492753623188, time cost: 2.9020071029663086s
resnet152_num-13900 top1:0.7694964028776978, top5:0.931294964028777, time cost: 2.997817039489746s
resnet152_num-14000 top1:0.7699285714285714, top5:0.9315, time cost: 2.9013214111328125s
resnet152_num-14100 top1:0.7697872340425532, top5:0.9317730496453901, time cost: 3.0097670555114746s
resnet152_num-14200 top1:0.7695070422535212, top5:0.9317605633802817, time cost: 2.8960113525390625s
resnet152_num-14300 top1:0.7692307692307693, top5:0.9315384615384615, time cost: 2.926870107650757s
resnet152_num-14400 top1:0.7691666666666667, top5:0.9315277777777777, time cost: 2.9696738719940186s
resnet152_num-14500 top1:0.7686896551724138, top5:0.931448275862069, time cost: 2.883118152618408s
resnet152_num-14600 top1:0.7688356164383562, top5:0.9315068493150684, time cost: 2.925729274749756s
resnet152_num-14700 top1:0.7689115646258503, top5:0.9314965986394558, time cost: 2.934617280960083s
resnet152_num-14800 top1:0.7689864864864865, top5:0.9316216216216217, time cost: 2.887164354324341s
resnet152_num-14900 top1:0.7691946308724832, top5:0.931744966442953, time cost: 2.9785330295562744s
resnet152_num-15000 top1:0.7692, top5:0.9313333333333333, time cost: 2.931837558746338s
