inceptionv4_num-100 top1:0.78, top5:0.96, time cost: 3.349064588546753s
inceptionv4_num-200 top1:0.77, top5:0.955, time cost: 3.2411530017852783s
inceptionv4_num-300 top1:0.7566666666666667, top5:0.9533333333333334, time cost: 3.2711308002471924s
inceptionv4_num-400 top1:0.7625, top5:0.9525, time cost: 3.248434066772461s
inceptionv4_num-500 top1:0.78, top5:0.958, time cost: 3.2680749893188477s
inceptionv4_num-600 top1:0.7816666666666666, top5:0.9566666666666667, time cost: 3.3717024326324463s
inceptionv4_num-700 top1:0.7871428571428571, top5:0.9585714285714285, time cost: 3.2345688343048096s
inceptionv4_num-800 top1:0.79375, top5:0.95875, time cost: 3.3374178409576416s
inceptionv4_num-900 top1:0.7955555555555556, top5:0.96, time cost: 3.255683660507202s
inceptionv4_num-1000 top1:0.794, top5:0.96, time cost: 3.2886030673980713s
inceptionv4_num-1100 top1:0.8009090909090909, top5:0.96, time cost: 3.3105876445770264s
inceptionv4_num-1200 top1:0.8075, top5:0.9608333333333333, time cost: 3.27716064453125s
inceptionv4_num-1300 top1:0.806923076923077, top5:0.9607692307692308, time cost: 3.250194549560547s
inceptionv4_num-1400 top1:0.8064285714285714, top5:0.9607142857142857, time cost: 3.2560999393463135s
inceptionv4_num-1500 top1:0.806, top5:0.9593333333333334, time cost: 3.2501680850982666s
inceptionv4_num-1600 top1:0.80125, top5:0.958125, time cost: 3.2704718112945557s
inceptionv4_num-1700 top1:0.8, top5:0.9558823529411765, time cost: 3.289644479751587s
inceptionv4_num-1800 top1:0.7988888888888889, top5:0.9555555555555556, time cost: 3.291848659515381s
inceptionv4_num-1900 top1:0.8, top5:0.9563157894736842, time cost: 3.260380983352661s
inceptionv4_num-2000 top1:0.7965, top5:0.9545, time cost: 3.276318073272705s
inceptionv4_num-2100 top1:0.7995238095238095, top5:0.9547619047619048, time cost: 3.317600965499878s
inceptionv4_num-2200 top1:0.7954545454545454, top5:0.9545454545454546, time cost: 3.266180992126465s
inceptionv4_num-2300 top1:0.7969565217391305, top5:0.9552173913043478, time cost: 3.3236083984375s
inceptionv4_num-2400 top1:0.7975, top5:0.9541666666666667, time cost: 3.275606632232666s
inceptionv4_num-2500 top1:0.8008, top5:0.9552, time cost: 3.3113975524902344s
inceptionv4_num-2600 top1:0.8003846153846154, top5:0.955, time cost: 3.2764415740966797s
inceptionv4_num-2700 top1:0.7996296296296296, top5:0.9537037037037037, time cost: 3.245647668838501s
inceptionv4_num-2800 top1:0.7975, top5:0.9525, time cost: 3.3256332874298096s
inceptionv4_num-2900 top1:0.7993103448275862, top5:0.9534482758620689, time cost: 3.257668972015381s
inceptionv4_num-3000 top1:0.798, top5:0.9536666666666667, time cost: 3.312865972518921s
inceptionv4_num-3100 top1:0.7974193548387096, top5:0.9541935483870968, time cost: 3.2538464069366455s
inceptionv4_num-3200 top1:0.7946875, top5:0.954375, time cost: 3.2749836444854736s
inceptionv4_num-3300 top1:0.7945454545454546, top5:0.9545454545454546, time cost: 3.2516064643859863s
inceptionv4_num-3400 top1:0.7952941176470588, top5:0.9544117647058824, time cost: 3.267853260040283s
inceptionv4_num-3500 top1:0.7948571428571428, top5:0.9551428571428572, time cost: 3.245840311050415s
inceptionv4_num-3600 top1:0.7944444444444444, top5:0.9541666666666667, time cost: 3.313356399536133s
inceptionv4_num-3700 top1:0.7951351351351351, top5:0.9535135135135135, time cost: 3.2731943130493164s
inceptionv4_num-3800 top1:0.7934210526315789, top5:0.9521052631578948, time cost: 3.2679853439331055s
inceptionv4_num-3900 top1:0.7941025641025641, top5:0.9523076923076923, time cost: 3.26043438911438s
inceptionv4_num-4000 top1:0.7945, top5:0.95275, time cost: 3.2697815895080566s
inceptionv4_num-4100 top1:0.7960975609756098, top5:0.9521951219512195, time cost: 3.2675063610076904s
inceptionv4_num-4200 top1:0.795, top5:0.9511904761904761, time cost: 3.237163782119751s
inceptionv4_num-4300 top1:0.7934883720930233, top5:0.9509302325581396, time cost: 3.2759034633636475s
inceptionv4_num-4400 top1:0.7943181818181818, top5:0.9511363636363637, time cost: 3.3280301094055176s
inceptionv4_num-4500 top1:0.7948888888888889, top5:0.9513333333333334, time cost: 3.3220295906066895s
inceptionv4_num-4600 top1:0.7939130434782609, top5:0.9508695652173913, time cost: 3.2612035274505615s
inceptionv4_num-4700 top1:0.7938297872340425, top5:0.9497872340425532, time cost: 3.2965657711029053s
inceptionv4_num-4800 top1:0.7941666666666667, top5:0.9502083333333333, time cost: 3.268547296524048s
inceptionv4_num-4900 top1:0.7951020408163265, top5:0.9504081632653061, time cost: 3.2999203205108643s
inceptionv4_num-5000 top1:0.796, top5:0.9504, time cost: 3.254490613937378s
inceptionv4_num-5100 top1:0.7954901960784314, top5:0.9496078431372549, time cost: 3.276850938796997s
inceptionv4_num-5200 top1:0.7967307692307692, top5:0.9496153846153846, time cost: 3.2714948654174805s
inceptionv4_num-5300 top1:0.7969811320754717, top5:0.949811320754717, time cost: 3.2856836318969727s
inceptionv4_num-5400 top1:0.7961111111111111, top5:0.9494444444444444, time cost: 3.2410013675689697s
inceptionv4_num-5500 top1:0.7967272727272727, top5:0.9492727272727273, time cost: 3.236889362335205s
inceptionv4_num-5600 top1:0.7976785714285715, top5:0.9491071428571428, time cost: 3.253927230834961s
inceptionv4_num-5700 top1:0.7975438596491228, top5:0.9492982456140351, time cost: 3.246889114379883s
inceptionv4_num-5800 top1:0.7977586206896552, top5:0.9496551724137932, time cost: 3.22371768951416s
inceptionv4_num-5900 top1:0.7977966101694915, top5:0.9496610169491525, time cost: 3.264313220977783s
inceptionv4_num-6000 top1:0.7968333333333333, top5:0.95, time cost: 3.288787841796875s
inceptionv4_num-6100 top1:0.7972131147540984, top5:0.949672131147541, time cost: 3.2815463542938232s
inceptionv4_num-6200 top1:0.7970967741935484, top5:0.9491935483870968, time cost: 3.2709662914276123s
inceptionv4_num-6300 top1:0.7976190476190477, top5:0.9492063492063492, time cost: 3.257740020751953s
inceptionv4_num-6400 top1:0.79703125, top5:0.9490625, time cost: 3.36676025390625s
inceptionv4_num-6500 top1:0.798, top5:0.9493846153846154, time cost: 3.259547233581543s
inceptionv4_num-6600 top1:0.7981818181818182, top5:0.9493939393939393, time cost: 3.268226385116577s
inceptionv4_num-6700 top1:0.7983582089552239, top5:0.9495522388059702, time cost: 3.29934024810791s
inceptionv4_num-6800 top1:0.7985294117647059, top5:0.9497058823529412, time cost: 3.2379257678985596s
inceptionv4_num-6900 top1:0.7978260869565217, top5:0.95, time cost: 3.2481772899627686s
inceptionv4_num-7000 top1:0.7984285714285714, top5:0.9505714285714286, time cost: 3.2644307613372803s
inceptionv4_num-7100 top1:0.7984507042253521, top5:0.9505633802816902, time cost: 3.275139808654785s
inceptionv4_num-7200 top1:0.7984722222222222, top5:0.9504166666666667, time cost: 3.2658798694610596s
inceptionv4_num-7300 top1:0.7989041095890411, top5:0.95, time cost: 3.250185012817383s
inceptionv4_num-7400 top1:0.7987837837837838, top5:0.95, time cost: 3.259739875793457s
inceptionv4_num-7500 top1:0.7997333333333333, top5:0.95, time cost: 3.2518396377563477s
inceptionv4_num-7600 top1:0.7993421052631579, top5:0.9498684210526316, time cost: 3.253207206726074s
inceptionv4_num-7700 top1:0.7996103896103897, top5:0.9501298701298702, time cost: 3.2503151893615723s
inceptionv4_num-7800 top1:0.7994871794871795, top5:0.9498717948717949, time cost: 3.2422711849212646s
inceptionv4_num-7900 top1:0.800126582278481, top5:0.949746835443038, time cost: 3.230275869369507s
inceptionv4_num-8000 top1:0.80025, top5:0.9495, time cost: 3.2375779151916504s
inceptionv4_num-8100 top1:0.8008641975308642, top5:0.9497530864197531, time cost: 3.2785844802856445s
inceptionv4_num-8200 top1:0.8009756097560976, top5:0.9495121951219512, time cost: 3.2616405487060547s
inceptionv4_num-8300 top1:0.8008433734939759, top5:0.9493975903614458, time cost: 3.3728063106536865s
inceptionv4_num-8400 top1:0.8007142857142857, top5:0.9492857142857143, time cost: 3.248274087905884s
inceptionv4_num-8500 top1:0.8012941176470588, top5:0.9495294117647058, time cost: 3.245718002319336s
inceptionv4_num-8600 top1:0.8, top5:0.9490697674418604, time cost: 3.2538421154022217s
inceptionv4_num-8700 top1:0.8003448275862068, top5:0.9493103448275862, time cost: 3.2564053535461426s
inceptionv4_num-8800 top1:0.8004545454545454, top5:0.9495454545454546, time cost: 3.2652440071105957s
inceptionv4_num-8900 top1:0.800561797752809, top5:0.9496629213483146, time cost: 3.2603535652160645s
inceptionv4_num-9000 top1:0.8006666666666666, top5:0.9495555555555556, time cost: 3.3203835487365723s
inceptionv4_num-9100 top1:0.8010989010989011, top5:0.9496703296703297, time cost: 3.2396512031555176s
inceptionv4_num-9200 top1:0.8016304347826086, top5:0.95, time cost: 3.310051918029785s
inceptionv4_num-9300 top1:0.8016129032258065, top5:0.9497849462365592, time cost: 3.2981576919555664s
inceptionv4_num-9400 top1:0.801595744680851, top5:0.9496808510638298, time cost: 3.392176389694214s
inceptionv4_num-9500 top1:0.8014736842105263, top5:0.9497894736842105, time cost: 3.178518772125244s
inceptionv4_num-9600 top1:0.8005208333333333, top5:0.9492708333333333, time cost: 3.177783966064453s
inceptionv4_num-9700 top1:0.8002061855670103, top5:0.948659793814433, time cost: 3.129298210144043s
inceptionv4_num-9800 top1:0.8008163265306123, top5:0.9485714285714286, time cost: 3.1155848503112793s
inceptionv4_num-9900 top1:0.8007070707070707, top5:0.9488888888888889, time cost: 3.130871057510376s
inceptionv4_num-10000 top1:0.801, top5:0.949, time cost: 3.123558521270752s
inceptionv4_num-10100 top1:0.8012871287128713, top5:0.9491089108910891, time cost: 3.1394083499908447s
inceptionv4_num-10200 top1:0.8014705882352942, top5:0.9491176470588235, time cost: 3.1230690479278564s
inceptionv4_num-10300 top1:0.8012621359223301, top5:0.9492233009708738, time cost: 3.1314430236816406s
inceptionv4_num-10400 top1:0.8013461538461538, top5:0.9493269230769231, time cost: 3.1257216930389404s
inceptionv4_num-10500 top1:0.8014285714285714, top5:0.9493333333333334, time cost: 3.133063793182373s
inceptionv4_num-10600 top1:0.8005660377358491, top5:0.9489622641509434, time cost: 3.2053885459899902s
inceptionv4_num-10700 top1:0.8006542056074767, top5:0.948785046728972, time cost: 3.1572155952453613s
inceptionv4_num-10800 top1:0.8007407407407408, top5:0.9484259259259259, time cost: 3.1279137134552s
inceptionv4_num-10900 top1:0.8008256880733945, top5:0.9483486238532111, time cost: 3.1304681301116943s
inceptionv4_num-11000 top1:0.8005454545454546, top5:0.9484545454545454, time cost: 3.204881191253662s
inceptionv4_num-11100 top1:0.8001801801801802, top5:0.9485585585585585, time cost: 3.1788244247436523s
inceptionv4_num-11200 top1:0.8000892857142857, top5:0.9485714285714286, time cost: 3.1243038177490234s
inceptionv4_num-11300 top1:0.7993805309734513, top5:0.9486725663716814, time cost: 3.202669143676758s
inceptionv4_num-11400 top1:0.7994736842105263, top5:0.9485964912280702, time cost: 3.1118359565734863s
inceptionv4_num-11500 top1:0.7999130434782609, top5:0.9486086956521739, time cost: 3.1239700317382812s
inceptionv4_num-11600 top1:0.7995689655172413, top5:0.948103448275862, time cost: 3.1145830154418945s
inceptionv4_num-11700 top1:0.8, top5:0.9481196581196581, time cost: 3.121741771697998s
inceptionv4_num-11800 top1:0.8001694915254237, top5:0.948135593220339, time cost: 3.13232159614563s
inceptionv4_num-11900 top1:0.7998319327731093, top5:0.9481512605042017, time cost: 3.1184191703796387s
inceptionv4_num-12000 top1:0.7995833333333333, top5:0.9480833333333333, time cost: 3.113279342651367s
inceptionv4_num-12100 top1:0.8000826446280992, top5:0.9481818181818182, time cost: 3.214414358139038s
inceptionv4_num-12200 top1:0.8000819672131148, top5:0.9481967213114754, time cost: 3.2034828662872314s
inceptionv4_num-12300 top1:0.8004065040650407, top5:0.9484552845528456, time cost: 3.2297821044921875s
inceptionv4_num-12400 top1:0.8004032258064516, top5:0.9484677419354839, time cost: 3.1661038398742676s
inceptionv4_num-12500 top1:0.80112, top5:0.94856, time cost: 3.1435048580169678s
inceptionv4_num-12600 top1:0.8011904761904762, top5:0.9484920634920635, time cost: 3.2639803886413574s
inceptionv4_num-12700 top1:0.8010236220472441, top5:0.9483464566929134, time cost: 3.1149866580963135s
inceptionv4_num-12800 top1:0.800859375, top5:0.948203125, time cost: 3.119842529296875s
inceptionv4_num-12900 top1:0.8009302325581396, top5:0.9481395348837209, time cost: 3.164219856262207s
inceptionv4_num-13000 top1:0.8013076923076923, top5:0.9483846153846154, time cost: 3.130556106567383s
inceptionv4_num-13100 top1:0.8012977099236641, top5:0.9483206106870229, time cost: 3.1435887813568115s
inceptionv4_num-13200 top1:0.8012878787878788, top5:0.9484848484848485, time cost: 3.1082029342651367s
inceptionv4_num-13300 top1:0.8008270676691729, top5:0.9484210526315789, time cost: 3.132913827896118s
inceptionv4_num-13400 top1:0.8005970149253732, top5:0.9485074626865672, time cost: 3.1084964275360107s
inceptionv4_num-13500 top1:0.8002962962962963, top5:0.9486666666666667, time cost: 3.2984719276428223s
inceptionv4_num-13600 top1:0.8001470588235294, top5:0.9486764705882353, time cost: 3.218640089035034s
inceptionv4_num-13700 top1:0.7994890510948905, top5:0.9487591240875912, time cost: 3.15232515335083s
inceptionv4_num-13800 top1:0.7994202898550725, top5:0.9488405797101449, time cost: 3.1337127685546875s
inceptionv4_num-13900 top1:0.7994244604316547, top5:0.948705035971223, time cost: 3.2147011756896973s
inceptionv4_num-14000 top1:0.7996428571428571, top5:0.9487857142857142, time cost: 3.12375807762146s
inceptionv4_num-14100 top1:0.7997163120567375, top5:0.9488652482269504, time cost: 3.2315661907196045s
inceptionv4_num-14200 top1:0.7995070422535211, top5:0.9486619718309859, time cost: 3.118450403213501s
inceptionv4_num-14300 top1:0.7991608391608391, top5:0.9483216783216784, time cost: 3.1580426692962646s
inceptionv4_num-14400 top1:0.7989583333333333, top5:0.9483333333333334, time cost: 3.196012496948242s
inceptionv4_num-14500 top1:0.7985517241379311, top5:0.9479310344827586, time cost: 3.1142916679382324s
inceptionv4_num-14600 top1:0.7985616438356165, top5:0.948013698630137, time cost: 3.1465952396392822s
inceptionv4_num-14700 top1:0.7989115646258503, top5:0.9482312925170068, time cost: 3.162625551223755s
inceptionv4_num-14800 top1:0.799054054054054, top5:0.9481756756756756, time cost: 3.119110345840454s
inceptionv4_num-14900 top1:0.7993288590604026, top5:0.948255033557047, time cost: 3.2073605060577393s
inceptionv4_num-15000 top1:0.7992666666666667, top5:0.9481333333333334, time cost: 3.158841609954834s
inceptionv4_num-15100 top1:0.7991390728476822, top5:0.9481456953642384, time cost: 3.118655204772949s
inceptionv4_num-15200 top1:0.7992105263157895, top5:0.9482236842105263, time cost: 3.16676664352417s
inceptionv4_num-15300 top1:0.7990849673202615, top5:0.9483660130718954, time cost: 3.1151068210601807s
inceptionv4_num-15400 top1:0.7992857142857143, top5:0.9483116883116883, time cost: 3.121169328689575s
inceptionv4_num-15500 top1:0.7994193548387096, top5:0.9483225806451613, time cost: 3.1571505069732666s
inceptionv4_num-15600 top1:0.7993589743589744, top5:0.9483974358974359, time cost: 3.1524267196655273s
inceptionv4_num-15700 top1:0.7997452229299363, top5:0.9486624203821656, time cost: 3.133713483810425s
inceptionv4_num-15800 top1:0.7994936708860759, top5:0.9487341772151898, time cost: 3.1727609634399414s
inceptionv4_num-15900 top1:0.79937106918239, top5:0.9487421383647798, time cost: 3.1144115924835205s
inceptionv4_num-16000 top1:0.799375, top5:0.9488125, time cost: 3.1257309913635254s
inceptionv4_num-16100 top1:0.7988198757763976, top5:0.9485093167701864, time cost: 3.111344814300537s
inceptionv4_num-16200 top1:0.7988271604938272, top5:0.948641975308642, time cost: 3.1052627563476562s
inceptionv4_num-16300 top1:0.7986503067484663, top5:0.9486503067484663, time cost: 3.2808191776275635s
inceptionv4_num-16400 top1:0.7985975609756097, top5:0.948719512195122, time cost: 3.136974573135376s
inceptionv4_num-16500 top1:0.7987272727272727, top5:0.9487272727272728, time cost: 3.1805617809295654s
inceptionv4_num-16600 top1:0.798433734939759, top5:0.9487349397590361, time cost: 3.1679301261901855s
inceptionv4_num-16700 top1:0.7980838323353293, top5:0.9488622754491018, time cost: 3.1487185955047607s
