vgg16_num-100 top1:0.71, top5:0.92, time cost: 1.2700366973876953s
vgg16_num-200 top1:0.725, top5:0.92, time cost: 1.1795029640197754s
vgg16_num-300 top1:0.68, top5:0.9066666666666666, time cost: 1.216773509979248s
vgg16_num-400 top1:0.695, top5:0.915, time cost: 1.2046940326690674s
vgg16_num-500 top1:0.716, top5:0.926, time cost: 1.2287623882293701s
vgg16_num-600 top1:0.7066666666666667, top5:0.9266666666666666, time cost: 1.3565304279327393s
vgg16_num-700 top1:0.71, top5:0.9228571428571428, time cost: 1.2139978408813477s
vgg16_num-800 top1:0.71125, top5:0.91375, time cost: 1.2905876636505127s
vgg16_num-900 top1:0.7066666666666667, top5:0.9133333333333333, time cost: 1.218681812286377s
vgg16_num-1000 top1:0.705, top5:0.912, time cost: 1.2207376956939697s
vgg16_num-1100 top1:0.7081818181818181, top5:0.9118181818181819, time cost: 1.244398593902588s
vgg16_num-1200 top1:0.7133333333333334, top5:0.9108333333333334, time cost: 1.211747407913208s
vgg16_num-1300 top1:0.7169230769230769, top5:0.9130769230769231, time cost: 1.1870925426483154s
vgg16_num-1400 top1:0.7135714285714285, top5:0.9121428571428571, time cost: 1.2099030017852783s
vgg16_num-1500 top1:0.712, top5:0.9093333333333333, time cost: 1.2024950981140137s
vgg16_num-1600 top1:0.710625, top5:0.90625, time cost: 1.2173311710357666s
vgg16_num-1700 top1:0.7123529411764706, top5:0.9052941176470588, time cost: 1.2507874965667725s
vgg16_num-1800 top1:0.71, top5:0.9061111111111111, time cost: 1.238189697265625s
vgg16_num-1900 top1:0.7094736842105264, top5:0.9073684210526316, time cost: 1.2095444202423096s
vgg16_num-2000 top1:0.7065, top5:0.9045, time cost: 1.2316484451293945s
vgg16_num-2100 top1:0.7085714285714285, top5:0.9066666666666666, time cost: 1.272111415863037s
vgg16_num-2200 top1:0.7040909090909091, top5:0.9063636363636364, time cost: 1.2163290977478027s
vgg16_num-2300 top1:0.7026086956521739, top5:0.9073913043478261, time cost: 1.2818453311920166s
vgg16_num-2400 top1:0.705, top5:0.9075, time cost: 1.1900520324707031s
vgg16_num-2500 top1:0.7076, top5:0.9092, time cost: 1.2437067031860352s
vgg16_num-2600 top1:0.7073076923076923, top5:0.91, time cost: 1.1994647979736328s
vgg16_num-2700 top1:0.7077777777777777, top5:0.9103703703703704, time cost: 1.1915383338928223s
vgg16_num-2800 top1:0.7064285714285714, top5:0.9096428571428572, time cost: 1.2589068412780762s
vgg16_num-2900 top1:0.7072413793103448, top5:0.9096551724137931, time cost: 1.1876544952392578s
vgg16_num-3000 top1:0.708, top5:0.9083333333333333, time cost: 1.2494189739227295s
vgg16_num-3100 top1:0.7074193548387097, top5:0.9083870967741936, time cost: 1.1919150352478027s
vgg16_num-3200 top1:0.7071875, top5:0.9084375, time cost: 1.212878942489624s
vgg16_num-3300 top1:0.7069696969696969, top5:0.9090909090909091, time cost: 1.1869349479675293s
vgg16_num-3400 top1:0.7076470588235294, top5:0.91, time cost: 1.1919004917144775s
vgg16_num-3500 top1:0.7074285714285714, top5:0.9094285714285715, time cost: 1.1757349967956543s
vgg16_num-3600 top1:0.7077777777777777, top5:0.9091666666666667, time cost: 1.2332885265350342s
vgg16_num-3700 top1:0.7089189189189189, top5:0.9091891891891892, time cost: 1.2021291255950928s
vgg16_num-3800 top1:0.7086842105263158, top5:0.9076315789473685, time cost: 1.1938068866729736s
vgg16_num-3900 top1:0.7092307692307692, top5:0.9087179487179488, time cost: 1.2032325267791748s
vgg16_num-4000 top1:0.70925, top5:0.90825, time cost: 1.194723129272461s
vgg16_num-4100 top1:0.71, top5:0.9078048780487805, time cost: 1.2022919654846191s
vgg16_num-4200 top1:0.7092857142857143, top5:0.9073809523809524, time cost: 1.1737561225891113s
vgg16_num-4300 top1:0.7088372093023256, top5:0.9074418604651163, time cost: 1.2087862491607666s
vgg16_num-4400 top1:0.71, top5:0.9070454545454546, time cost: 1.2592895030975342s
vgg16_num-4500 top1:0.7124444444444444, top5:0.9073333333333333, time cost: 1.2465558052062988s
vgg16_num-4600 top1:0.7121739130434782, top5:0.9060869565217391, time cost: 1.1750540733337402s
vgg16_num-4700 top1:0.7125531914893617, top5:0.9059574468085106, time cost: 1.2231523990631104s
vgg16_num-4800 top1:0.7133333333333334, top5:0.9058333333333334, time cost: 1.1841893196105957s
vgg16_num-4900 top1:0.7136734693877551, top5:0.9059183673469388, time cost: 1.2218341827392578s
vgg16_num-5000 top1:0.7144, top5:0.9058, time cost: 1.1760053634643555s
vgg16_num-5100 top1:0.7150980392156863, top5:0.9052941176470588, time cost: 1.2208876609802246s
vgg16_num-5200 top1:0.7171153846153846, top5:0.905, time cost: 1.2236387729644775s
vgg16_num-5300 top1:0.7183018867924529, top5:0.9050943396226415, time cost: 1.2387866973876953s
vgg16_num-5400 top1:0.7179629629629629, top5:0.9053703703703704, time cost: 1.1841156482696533s
vgg16_num-5500 top1:0.7165454545454546, top5:0.904, time cost: 1.1984248161315918s
vgg16_num-5600 top1:0.7173214285714286, top5:0.9044642857142857, time cost: 1.1969187259674072s
vgg16_num-5700 top1:0.7177192982456141, top5:0.9045614035087719, time cost: 1.194181203842163s
vgg16_num-5800 top1:0.7179310344827586, top5:0.9044827586206896, time cost: 1.1739091873168945s
vgg16_num-5900 top1:0.7181355932203389, top5:0.9045762711864407, time cost: 1.2133240699768066s
vgg16_num-6000 top1:0.7173333333333334, top5:0.9045, time cost: 1.2359964847564697s
vgg16_num-6100 top1:0.7185245901639344, top5:0.9044262295081967, time cost: 1.208509922027588s
vgg16_num-6200 top1:0.7174193548387097, top5:0.9033870967741936, time cost: 1.2141716480255127s
vgg16_num-6300 top1:0.7173015873015873, top5:0.9031746031746032, time cost: 1.1909511089324951s
vgg16_num-6400 top1:0.7165625, top5:0.9025, time cost: 1.2946619987487793s
vgg16_num-6500 top1:0.7176923076923077, top5:0.9029230769230769, time cost: 1.1827280521392822s
vgg16_num-6600 top1:0.7172727272727273, top5:0.9031818181818182, time cost: 1.1996536254882812s
vgg16_num-6700 top1:0.7171641791044776, top5:0.902686567164179, time cost: 1.2351210117340088s
vgg16_num-6800 top1:0.7166176470588236, top5:0.9026470588235294, time cost: 1.1727290153503418s
vgg16_num-6900 top1:0.7163768115942029, top5:0.9020289855072464, time cost: 1.1925420761108398s
