Resnet50_num-6800 top1:0.7569117647058824, top5:0.9252941176470588, time cost: 1.289520263671875s
Resnet50_num-6900 top1:0.756231884057971, top5:0.9252173913043479, time cost: 1.3028349876403809s
Resnet50_num-7000 top1:0.7577142857142857, top5:0.9258571428571428, time cost: 1.304231882095337s
Resnet50_num-7100 top1:0.758169014084507, top5:0.9259154929577464, time cost: 1.3268826007843018s
Resnet50_num-7200 top1:0.7580555555555556, top5:0.9258333333333333, time cost: 1.312821626663208s
Resnet50_num-7300 top1:0.756986301369863, top5:0.9253424657534246, time cost: 1.294581651687622s
Resnet50_num-7400 top1:0.7566216216216216, top5:0.9251351351351351, time cost: 1.3149700164794922s
Resnet50_num-7500 top1:0.7565333333333333, top5:0.9249333333333334, time cost: 1.3022558689117432s
Resnet50_num-7600 top1:0.756578947368421, top5:0.925, time cost: 1.303802490234375s
Resnet50_num-7700 top1:0.7568831168831169, top5:0.9249350649350649, time cost: 1.2992982864379883s
Resnet50_num-7800 top1:0.757051282051282, top5:0.9246153846153846, time cost: 1.297722578048706s
Resnet50_num-7900 top1:0.7569620253164557, top5:0.9249367088607595, time cost: 1.2813951969146729s
Resnet50_num-8000 top1:0.75725, top5:0.924875, time cost: 1.2950446605682373s
Resnet50_num-8100 top1:0.7574074074074074, top5:0.9249382716049382, time cost: 1.327653169631958s
Resnet50_num-8200 top1:0.7575609756097561, top5:0.9247560975609757, time cost: 1.3070437908172607s
Resnet50_num-8300 top1:0.7574698795180723, top5:0.9246987951807228, time cost: 1.420391321182251s
Resnet50_num-8400 top1:0.7575, top5:0.9245238095238095, time cost: 1.3051238059997559s
Resnet50_num-8500 top1:0.7575294117647059, top5:0.9245882352941176, time cost: 1.298076868057251s
Resnet50_num-8600 top1:0.7567441860465116, top5:0.9236046511627907, time cost: 1.3033065795898438s
Resnet50_num-8700 top1:0.7573563218390804, top5:0.9237931034482758, time cost: 1.3122451305389404s
Resnet50_num-8800 top1:0.7572727272727273, top5:0.9239772727272727, time cost: 1.2980921268463135s
Resnet50_num-8900 top1:0.7567415730337078, top5:0.9242696629213483, time cost: 1.2905395030975342s
Resnet50_num-9000 top1:0.757, top5:0.9243333333333333, time cost: 1.3599815368652344s
Resnet50_num-9100 top1:0.7572527472527473, top5:0.9243956043956044, time cost: 1.2891273498535156s
Resnet50_num-9200 top1:0.7577173913043478, top5:0.9242391304347826, time cost: 1.3332438468933105s
Resnet50_num-9300 top1:0.7580645161290323, top5:0.9239784946236559, time cost: 1.3355937004089355s
Resnet50_num-9400 top1:0.7585106382978724, top5:0.9236170212765957, time cost: 1.430527687072754s
Resnet50_num-9500 top1:0.7582105263157894, top5:0.9236842105263158, time cost: 1.3413240909576416s
Resnet50_num-9600 top1:0.7573958333333334, top5:0.9232291666666667, time cost: 1.353360652923584s
Resnet50_num-9700 top1:0.7572164948453608, top5:0.9224742268041237, time cost: 1.3070216178894043s
Resnet50_num-9800 top1:0.7571428571428571, top5:0.9226530612244898, time cost: 1.2988324165344238s
Resnet50_num-9900 top1:0.7571717171717172, top5:0.9229292929292929, time cost: 1.3157024383544922s
Resnet50_num-10000 top1:0.7577, top5:0.9234, time cost: 1.3035764694213867s
Resnet50_num-10100 top1:0.7577227722772277, top5:0.9235643564356436, time cost: 1.3225762844085693s
Resnet50_num-10200 top1:0.7578431372549019, top5:0.9240196078431373, time cost: 1.301041841506958s
Resnet50_num-10300 top1:0.7575728155339806, top5:0.9242718446601942, time cost: 1.306194543838501s
Resnet50_num-10400 top1:0.7572115384615384, top5:0.9241346153846154, time cost: 1.305305004119873s
Resnet50_num-10500 top1:0.7568571428571429, top5:0.9239047619047619, time cost: 1.3142752647399902s
Resnet50_num-10600 top1:0.7566981132075472, top5:0.9236792452830188, time cost: 1.3849425315856934s
Resnet50_num-10700 top1:0.7570093457943925, top5:0.9237383177570093, time cost: 1.3380153179168701s
Resnet50_num-10800 top1:0.7569444444444444, top5:0.9234259259259259, time cost: 1.3111484050750732s
