inceptionv3_num-6800 top1:0.7977941176470589, top5:0.9495588235294118, time cost: 2.385507822036743s
inceptionv3_num-6900 top1:0.7969565217391305, top5:0.9492753623188406, time cost: 2.406255006790161s
inceptionv3_num-7000 top1:0.7972857142857143, top5:0.9495714285714286, time cost: 2.401210069656372s
inceptionv3_num-7100 top1:0.7973239436619718, top5:0.9494366197183098, time cost: 2.4311954975128174s
inceptionv3_num-7200 top1:0.7977777777777778, top5:0.9493055555555555, time cost: 2.4100325107574463s
inceptionv3_num-7300 top1:0.7978082191780822, top5:0.9489041095890411, time cost: 2.3959221839904785s
inceptionv3_num-7400 top1:0.7982432432432433, top5:0.9487837837837838, time cost: 2.408095121383667s
inceptionv3_num-7500 top1:0.7984, top5:0.9486666666666667, time cost: 2.3968255519866943s
inceptionv3_num-7600 top1:0.7985526315789474, top5:0.9489473684210527, time cost: 2.3992717266082764s
inceptionv3_num-7700 top1:0.798961038961039, top5:0.948961038961039, time cost: 2.392878532409668s
inceptionv3_num-7800 top1:0.798974358974359, top5:0.9488461538461539, time cost: 2.3970820903778076s
inceptionv3_num-7900 top1:0.7992405063291139, top5:0.9488607594936709, time cost: 2.3789639472961426s
inceptionv3_num-8000 top1:0.79825, top5:0.94875, time cost: 2.3927321434020996s
inceptionv3_num-8100 top1:0.7982716049382717, top5:0.9491358024691358, time cost: 2.427499294281006s
inceptionv3_num-8200 top1:0.7984146341463415, top5:0.9485365853658536, time cost: 2.4087941646575928s
inceptionv3_num-8300 top1:0.7980722891566265, top5:0.9485542168674699, time cost: 2.5328104496002197s
inceptionv3_num-8400 top1:0.7973809523809524, top5:0.9479761904761905, time cost: 2.4065163135528564s
inceptionv3_num-8500 top1:0.7976470588235294, top5:0.9483529411764706, time cost: 2.3964056968688965s
inceptionv3_num-8600 top1:0.7962790697674419, top5:0.947906976744186, time cost: 2.3979554176330566s
inceptionv3_num-8700 top1:0.7965517241379311, top5:0.9482758620689655, time cost: 2.4132025241851807s
inceptionv3_num-8800 top1:0.7968181818181819, top5:0.9481818181818182, time cost: 2.3936855792999268s
inceptionv3_num-8900 top1:0.7965168539325843, top5:0.9485393258426966, time cost: 2.3837645053863525s
inceptionv3_num-9000 top1:0.7962222222222223, top5:0.9484444444444444, time cost: 2.471283197402954s
inceptionv3_num-9100 top1:0.797032967032967, top5:0.9486813186813187, time cost: 2.3917267322540283s
inceptionv3_num-9200 top1:0.7972826086956522, top5:0.9485869565217391, time cost: 2.4300386905670166s
inceptionv3_num-9300 top1:0.7970967741935484, top5:0.9486021505376344, time cost: 2.42750883102417s
inceptionv3_num-9400 top1:0.7969148936170213, top5:0.9486170212765958, time cost: 2.53462815284729s
inceptionv3_num-9500 top1:0.7968421052631579, top5:0.9485263157894737, time cost: 2.4316182136535645s
inceptionv3_num-9600 top1:0.7961458333333333, top5:0.9483333333333334, time cost: 2.4558706283569336s
inceptionv3_num-9700 top1:0.7957731958762887, top5:0.9476288659793815, time cost: 2.4013776779174805s
inceptionv3_num-9800 top1:0.7959183673469388, top5:0.9475510204081633, time cost: 2.399044990539551s
inceptionv3_num-9900 top1:0.795959595959596, top5:0.9477777777777778, time cost: 2.417367696762085s
inceptionv3_num-10000 top1:0.7964, top5:0.9481, time cost: 2.4020607471466064s
inceptionv3_num-10100 top1:0.7965346534653466, top5:0.9481188118811881, time cost: 2.422715902328491s
inceptionv3_num-10200 top1:0.7961764705882353, top5:0.9483333333333334, time cost: 2.40334415435791s
inceptionv3_num-10300 top1:0.7961165048543689, top5:0.9483495145631068, time cost: 2.4011027812957764s
inceptionv3_num-10400 top1:0.7957692307692308, top5:0.9483653846153847, time cost: 2.4001076221466064s
inceptionv3_num-10500 top1:0.7956190476190477, top5:0.9482857142857143, time cost: 2.4092023372650146s
inceptionv3_num-10600 top1:0.795188679245283, top5:0.9480188679245283, time cost: 2.4884488582611084s
inceptionv3_num-10700 top1:0.7950467289719626, top5:0.9481308411214954, time cost: 2.435962438583374s
inceptionv3_num-10800 top1:0.794537037037037, top5:0.947962962962963, time cost: 2.405484914779663s
inceptionv3_num-10900 top1:0.7944954128440367, top5:0.9479816513761468, time cost: 2.4018306732177734s
inceptionv3_num-11000 top1:0.7944545454545454, top5:0.948, time cost: 2.4913883209228516s
inceptionv3_num-11100 top1:0.7945945945945946, top5:0.9479279279279279, time cost: 2.4568142890930176s
inceptionv3_num-11200 top1:0.7947321428571429, top5:0.948125, time cost: 2.4043123722076416s
inceptionv3_num-11300 top1:0.7946902654867256, top5:0.9482300884955752, time cost: 2.487710475921631s
inceptionv3_num-11400 top1:0.795, top5:0.9480701754385965, time cost: 2.3947577476501465s
inceptionv3_num-11500 top1:0.7952173913043479, top5:0.948, time cost: 2.4116463661193848s
inceptionv3_num-11600 top1:0.7949137931034482, top5:0.9476724137931034, time cost: 2.4010367393493652s
inceptionv3_num-11700 top1:0.7947008547008547, top5:0.9475213675213675, time cost: 2.403892993927002s
inceptionv3_num-11800 top1:0.7944067796610169, top5:0.9474576271186441, time cost: 2.408456563949585s
inceptionv3_num-11900 top1:0.7939495798319328, top5:0.9474789915966386, time cost: 2.4016830921173096s
inceptionv3_num-12000 top1:0.794, top5:0.9475833333333333, time cost: 2.4036989212036133s
inceptionv3_num-12100 top1:0.7944628099173554, top5:0.9476859504132231, time cost: 2.5057921409606934s
inceptionv3_num-12200 top1:0.7945901639344263, top5:0.9476229508196722, time cost: 2.488091230392456s
inceptionv3_num-12300 top1:0.7943089430894309, top5:0.9478048780487804, time cost: 2.529289484024048s
inceptionv3_num-12400 top1:0.7945967741935483, top5:0.947983870967742, time cost: 2.441457986831665s
inceptionv3_num-12500 top1:0.79512, top5:0.94824, time cost: 2.429807424545288s
inceptionv3_num-12600 top1:0.7951587301587302, top5:0.9480952380952381, time cost: 2.5356578826904297s
inceptionv3_num-12700 top1:0.7946456692913386, top5:0.9479527559055118, time cost: 2.3946588039398193s
inceptionv3_num-12800 top1:0.794453125, top5:0.94765625, time cost: 2.3993468284606934s
inceptionv3_num-12900 top1:0.7943410852713179, top5:0.9473643410852713, time cost: 2.4496755599975586s
inceptionv3_num-13000 top1:0.7946923076923077, top5:0.9473846153846154, time cost: 2.404684543609619s
inceptionv3_num-13100 top1:0.7945038167938931, top5:0.9473282442748091, time cost: 2.4239237308502197s
inceptionv3_num-13200 top1:0.7943181818181818, top5:0.9474242424242424, time cost: 2.386610746383667s
inceptionv3_num-13300 top1:0.7941353383458647, top5:0.9475187969924812, time cost: 2.4187400341033936s
inceptionv3_num-13400 top1:0.7941044776119403, top5:0.9474626865671641, time cost: 2.3921120166778564s
inceptionv3_num-13500 top1:0.7939259259259259, top5:0.9474814814814815, time cost: 2.593412160873413s
inceptionv3_num-13600 top1:0.7936029411764706, top5:0.9473529411764706, time cost: 2.5175657272338867s
inceptionv3_num-13700 top1:0.7932116788321167, top5:0.9472262773722627, time cost: 2.452742099761963s
inceptionv3_num-13800 top1:0.7929710144927536, top5:0.9471739130434783, time cost: 2.4360313415527344s
inceptionv3_num-13900 top1:0.7927338129496403, top5:0.9472661870503597, time cost: 2.511021614074707s
inceptionv3_num-14000 top1:0.7929285714285714, top5:0.9473571428571429, time cost: 2.3856213092803955s
inceptionv3_num-14100 top1:0.7929787234042553, top5:0.9475177304964539, time cost: 2.425550937652588s
inceptionv3_num-14200 top1:0.7926056338028169, top5:0.9476760563380282, time cost: 2.308469772338867s
inceptionv3_num-14300 top1:0.7920979020979021, top5:0.9474125874125874, time cost: 2.35089111328125s
inceptionv3_num-14400 top1:0.7921527777777778, top5:0.9475, time cost: 2.3883750438690186s
inceptionv3_num-14500 top1:0.7917931034482759, top5:0.9471724137931035, time cost: 2.3034517765045166s
inceptionv3_num-14600 top1:0.7917123287671233, top5:0.9469863013698631, time cost: 2.3415539264678955s
inceptionv3_num-14700 top1:0.7921768707482993, top5:0.9472789115646258, time cost: 2.3453943729400635s
inceptionv3_num-14800 top1:0.7921621621621622, top5:0.9472297297297297, time cost: 2.307637929916382s
inceptionv3_num-14900 top1:0.7922147651006711, top5:0.9473825503355705, time cost: 2.3969130516052246s
inceptionv3_num-15000 top1:0.7920666666666667, top5:0.9471333333333334, time cost: 2.3510003089904785s
inceptionv3_num-15100 top1:0.7916556291390728, top5:0.9471523178807947, time cost: 2.3117828369140625s
inceptionv3_num-15200 top1:0.7915131578947369, top5:0.9470394736842105, time cost: 2.363363265991211s
inceptionv3_num-15300 top1:0.7907843137254902, top5:0.946797385620915, time cost: 2.3073458671569824s
inceptionv3_num-15400 top1:0.790974025974026, top5:0.9468831168831169, time cost: 2.3066463470458984s
inceptionv3_num-15500 top1:0.7910967741935484, top5:0.9468387096774193, time cost: 2.3434295654296875s
inceptionv3_num-15600 top1:0.7907692307692308, top5:0.9467948717948718, time cost: 2.3444836139678955s
inceptionv3_num-15700 top1:0.790828025477707, top5:0.9470700636942675, time cost: 2.3232009410858154s
inceptionv3_num-15800 top1:0.790759493670886, top5:0.9472151898734177, time cost: 2.3617117404937744s
inceptionv3_num-15900 top1:0.790377358490566, top5:0.9470440251572327, time cost: 2.2980997562408447s
inceptionv3_num-16000 top1:0.7905, top5:0.94725, time cost: 2.3203299045562744s
inceptionv3_num-16100 top1:0.7901242236024845, top5:0.9471428571428572, time cost: 2.3046090602874756s
inceptionv3_num-16200 top1:0.7900617283950617, top5:0.947283950617284, time cost: 2.303144931793213s
inceptionv3_num-16300 top1:0.7898159509202454, top5:0.9471779141104294, time cost: 2.470700740814209s
inceptionv3_num-16400 top1:0.7899390243902439, top5:0.9473170731707317, time cost: 2.323981761932373s
inceptionv3_num-16500 top1:0.7899393939393939, top5:0.9471515151515152, time cost: 2.3608362674713135s
inceptionv3_num-16600 top1:0.7898795180722892, top5:0.9473493975903614, time cost: 2.359966278076172s
inceptionv3_num-16700 top1:0.7901796407185628, top5:0.9474850299401197, time cost: 2.334259271621704s
inceptionv3_num-16800 top1:0.7901190476190476, top5:0.9476190476190476, time cost: 2.3274483680725098s
inceptionv3_num-16900 top1:0.7896449704142012, top5:0.9475147928994083, time cost: 2.3022799491882324s
inceptionv3_num-17000 top1:0.7900588235294118, top5:0.9475882352941176, time cost: 2.3101537227630615s
inceptionv3_num-17100 top1:0.790233918128655, top5:0.9474269005847953, time cost: 2.326017141342163s
inceptionv3_num-17200 top1:0.790406976744186, top5:0.9473837209302326, time cost: 2.321906089782715s
inceptionv3_num-17300 top1:0.7908092485549133, top5:0.947514450867052, time cost: 2.3441479206085205s
inceptionv3_num-17400 top1:0.7906896551724137, top5:0.9474712643678161, time cost: 2.367767333984375s
inceptionv3_num-17500 top1:0.7909142857142857, top5:0.9474857142857143, time cost: 2.3541862964630127s
